ub	phase	run	eval_tps	prompt_tps	prompt_n	predicted_n
1584	warmup	1	14.67005583159647	10.251741770926879	65	256
1584	warmup	2	14.536467539585328	10.539576026907376	65	256
1584	eval	1	14.529609840813936	68.9575516741922	1086	256
1584	eval	2	14.530386699565128	68.97854024259485	1086	256
1584	eval	3	14.525954277175748	69.0352188317906	1086	256
1584	eval	4	14.529906719701584	69.05537649836972	1086	256
1584	eval	5	14.526548572636091	68.9210273548573	1086	256
1586	warmup	1	15.17604418742391	10.279636151487678	65	256
1586	warmup	2	15.101087921306345	10.494067138781293	65	256
1586	eval	1	15.088465263199712	68.81016890108577	1086	256
1586	eval	2	15.089763758548926	68.94251451252627	1086	256
1586	eval	3	15.082437303015123	69.00914809668194	1086	256
1586	eval	4	15.090267207959267	68.96574060156034	1086	256
1586	eval	5	15.090472689014948	68.94248825247932	1086	256
1664	warmup	1	15.264091439539769	10.210701757968666	65	256
1664	warmup	2	15.129280589115275	10.468682934999949	65	256
1664	eval	1	15.089503152173629	68.1237923473897	1086	256
1664	eval	2	15.092154107872116	68.35130177445896	1086	256
1664	eval	3	15.087438187178293	68.26276235513569	1086	256
1664	eval	4	15.087014058916557	68.30051648649312	1086	256
1664	eval	5	15.097220200741132	68.21930710667408	1086	256
