elapsed_s,mode,duty0,fan1,fan2,fan3,fan4,fan5,fan6,fan7,fan8,cpu1,gpu_max,power
516,01,10,2900,2900,2900,3000,2900,2900,,2900,55,46,on
19,01,10,2900,2900,2900,3000,2900,2900,,2900,55,46,on
540,01,10,2900,2900,2900,3000,2900,2900,,2900,55,46,on
40,01,10,,,,,,,,,,,on
563,01,10,,,,,,,,,,,on
60,01,10,,,,,,,,,,,on
586,01,10,,,,,,,,,,,on
80,01,10,2900,2900,2900,2900,2900,2900,,2900,52,46,on
610,01,10,2900,2900,2900,2900,3000,2900,,2900,55,,on
104,01,10,2900,2900,2900,2900,3000,2900,,2900,55,,on
634,01,10,2900,3500,3900,3200,3800,2900,,2900,56,46,on
130,01,10,2900,2900,3000,2900,2900,2900,,2900,52,46,on
660,01,10,2900,2900,3000,2900,3000,2900,,2900,51,46,on
155,01,10,2900,2900,3000,2900,3000,2900,,2900,50,46,on
681,01,10,2900,2900,3000,2900,2900,2900,,2900,49,46,on
182,01,10,2900,2900,3000,2900,3000,2900,,2900,48,46,on
705,01,10,2900,2900,3000,2900,2900,2900,,2900,47,46,on
207,01,10,2900,2900,3000,2900,2900,2900,,2900,47,46,on
730,01,10,2900,2900,3000,2900,3000,2900,,2900,46,46,on
231,01,10,2900,2900,3000,2900,2900,2900,,2900,46,46,on
754,01,10,2900,2900,3000,2900,2900,2900,,2900,46,47,on
257,01,10,2900,2900,3000,2900,2900,2900,,2900,45,46,on
780,01,10,2900,2900,3000,2900,2900,2900,,2900,46,47,on
281,01,10,2900,2900,3000,2900,2900,2900,,2900,45,47,on
