#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260416    06:33:01       0     47     77      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
 20260416    06:33:01       1     48     72      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
 20260416    06:33:01       2     40     53      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
 20260416    06:33:01       3     35     50      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
 20260416    06:33:03       0     47     77      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
 20260416    06:33:03       1     48     72      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
 20260416    06:33:03       2     40     53      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
 20260416    06:33:03       3     35     50      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
 20260416    06:33:05       0     47     77      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
 20260416    06:33:05       1     48     72      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
 20260416    06:33:05       2     40     54      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
 20260416    06:33:05       3     35     50      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
 20260416    06:33:07       0     50     77      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0     16 
 20260416    06:33:07       1     49     73      -     10      3      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     54      7 
 20260416    06:33:07       2     64     54      -     10      3      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      6      4 
 20260416    06:33:07       3     35     50      -     14      5      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     58     65 
 20260416    06:33:09       0     61     77      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     66     13 
 20260416    06:33:09       1     78     73      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     38     10 
 20260416    06:33:09       2     40     54      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     70      4 
 20260416    06:33:09       3     54     50      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     15     17 
 20260416    06:33:10       0     47     77      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0    104      4 
 20260416    06:33:10       1     76     73      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     84      6 
