top - 06:58:08 up  3:09,  2 users,  load average: 0.97, 4.62, 5.20
Tasks: 819 total,   3 running, 816 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.5 us,  3.1 sy,  0.0 ni, 96.4 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem : 257560.1 total, 169141.4 free,   8528.0 used,  79890.7 buff/cache
MiB Swap:   8192.0 total,   8192.0 free,      0.0 used. 243070.4 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  33091 llm       20   0    2788   1008    920 R 100.0   0.0   0:00.18 numastat
  33086 llm       20   0  127544  14796   9228 R  94.1   0.0   0:00.23 perf
  33090 llm       20   0   26528  13536   8680 S  52.9   0.0   0:00.09 perf
  33085 llm       20   0  334960  21972   6736 S  11.8   0.0   0:00.03 nvidia-smi
    378 root      20   0       0      0      0 S   5.9   0.0   0:00.01 ksoftirqd/60
  28500 llm       20   0  285.2g  67.3g  66.5g S   5.9  26.8  10:24.42 llama-server
  33089 llm       20   0   11144   4836   3444 R   5.9   0.0   0:00.03 top
      1 root      20   0  167680  13464   8608 S   0.0   0.0   0:08.88 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.03 kthreadd
      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 slub_flushwq
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 netns
      8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0:0H-kblockd
     10 root      20   0       0      0      0 I   0.0   0.0   0:00.25 kworker/u160:0-ext4-rsv-conversion
     11 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_percpu_wq
     12 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tasks_rude_
     13 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tasks_trace
     14 root      20   0       0      0      0 S   0.0   0.0   0:00.01 ksoftirqd/0
     15 root      20   0       0      0      0 I   0.0   0.0   0:01.04 rcu_sched
     16 root      rt   0       0      0      0 S   0.0   0.0   0:00.04 migration/0
     17 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/0
     19 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     20 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     21 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/1
     22 root      rt   0       0      0      0 S   0.0   0.0   0:01.90 migration/1
     23 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ksoftirqd/1
     25 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/1:0H-events_highpri
     26 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/2
     27 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/2
     28 root      rt   0       0      0      0 S   0.0   0.0   0:01.91 migration/2
     29 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ksoftirqd/2
     31 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/2:0H-kblockd
     32 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/3
     33 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/3
     34 root      rt   0       0      0      0 S   0.0   0.0   0:01.92 migration/3
     35 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ksoftirqd/3
     37 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/3:0H-events_highpri
     38 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/4
     39 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/4
     40 root      rt   0       0      0      0 S   0.0   0.0   0:01.93 migration/4
     41 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ksoftirqd/4
     43 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/4:0H-kblockd
     44 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/5
     45 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/5
     46 root      rt   0       0      0      0 S   0.0   0.0   0:01.94 migration/5
     47 root      20   0       0      0      0 S   0.0   0.0   0:00.01 ksoftirqd/5
     49 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/5:0H-kblockd
     50 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/6
     51 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/6
     52 root      rt   0       0      0      0 S   0.0   0.0   0:01.94 migration/6
     53 root      20   0       0      0      0 S   0.0   0.0   0:00.01 ksoftirqd/6
     55 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/6:0H-kblockd
     56 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/7
     57 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/7
     58 root      rt   0       0      0      0 S   0.0   0.0   0:01.95 migration/7
     59 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ksoftirqd/7
     61 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/7:0H-kblockd
     62 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/8
     63 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/8
     64 root      rt   0       0      0      0 S   0.0   0.0   0:01.96 migration/8
     65 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ksoftirqd/8
     67 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/8:0H-events_highpri
     68 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/9
     69 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/9
     70 root      rt   0       0      0      0 S   0.0   0.0   0:01.97 migration/9
     71 root      20   0       0      0      0 S   0.0   0.0   0:00.01 ksoftirqd/9
     73 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/9:0H-kblockd
     74 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/10
     75 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/10
     76 root      rt   0       0      0      0 S   0.0   0.0   0:01.98 migration/10
     77 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ksoftirqd/10
     79 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/10:0H-kblockd
     80 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/11
     81 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/11
     82 root      rt   0       0      0      0 S   0.0   0.0   0:01.99 migration/11
     83 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ksoftirqd/11
     85 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/11:0H-kblockd
     86 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/12
     87 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/12
     88 root      rt   0       0      0      0 S   0.0   0.0   0:02.00 migration/12
     89 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ksoftirqd/12
     91 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/12:0H-events_highpri
     92 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/13
     93 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/13
     94 root      rt   0       0      0      0 S   0.0   0.0   0:02.01 migration/13
