#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260416    06:58:08       0     47     77      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
 20260416    06:58:08       1     48     71      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
 20260416    06:58:08       2     40     55      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
 20260416    06:58:08       3     35     51      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
 20260416    06:58:10       0     47     76      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
 20260416    06:58:10       1     48     71      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
 20260416    06:58:10       2     40     55      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
 20260416    06:58:10       3     35     51      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
 20260416    06:58:12       0     47     76      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
 20260416    06:58:12       1     48     71      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
 20260416    06:58:12       2     40     54      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
 20260416    06:58:12       3     35     51      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
 20260416    06:58:15       0     47     77      -     21      8      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
 20260416    06:58:15       1     48     71      -     25      8      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      3 
 20260416    06:58:15       2     40     55      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     49     31 
 20260416    06:58:15       3     35     51      -     21      8      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0    137     55 
 20260416    06:58:16       0     51     77      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      8     20 
 20260416    06:58:16       1     48     71      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     82      6 
 20260416    06:58:16       2     65     55      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0     14 
 20260416    06:58:16       3     35     51      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      7     16 
 20260416    06:58:18       0     62     77      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      8 
 20260416    06:58:18       1     48     72      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     34     13 
 20260416    06:58:18       2     68     55      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     22      3 
 20260416    06:58:18       3     36     51      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     50     67 
 20260416    06:58:19       0     52     77      -      9      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     90      7 
 20260416    06:58:19       1     72     72      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     14      0 
 20260416    06:58:19       2     42     55      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     71      2 
 20260416    06:58:19       3     53     51      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0     17 
 20260416    06:58:20       0     57     77      -      8      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
 20260416    06:58:20       1     50     72      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     46      9 
 20260416    06:58:20       2     67     55      -     10      3      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      6      9 
 20260416    06:58:20       3     36     51      -     12      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     74     61 
 20260416    06:58:21       0     49     77      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0     13 
 20260416    06:58:21       1     48     72      -     10      3      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     62      5 
 20260416    06:58:21       2     64     55      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     71      9 
 20260416    06:58:21       3     36     51      -     12      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     74     10 
 20260416    06:58:23       0     65     77      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
 20260416    06:58:23       1     51     72      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      2     18 
 20260416    06:58:23       2     65     55      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     38     19 
 20260416    06:58:23       3     43     51      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     65     21 
 20260416    06:58:24       0     56     77      -      9      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
 20260416    06:58:24       1     49     72      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0     14 
 20260416    06:58:24       2     41     55      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     69     14 
 20260416    06:58:24       3     36     51      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     82     59 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260416    06:58:25       0     49     77      -      9      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     66      0 
 20260416    06:58:25       1     50     72      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     32     13 
 20260416    06:58:25       2     66     55      -      8      3      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     24     13 
 20260416    06:58:25       3     47     51      -     11      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     41     17 
 20260416    06:58:27       0     51     77      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      1 
 20260416    06:58:27       1     49     72      -      9      3      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     25     15 
 20260416    06:58:27       2     69     55      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     32      4 
 20260416    06:58:27       3     36     51      -     10      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     58     66 
 20260416    06:58:28       0     51     77      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     10     22 
 20260416    06:58:28       1     48     72      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     85     14 
 20260416    06:58:28       2     41     55      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     85     14 
