#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260416    06:30:45       0     47     76      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
 20260416    06:30:45       1     48     72      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
 20260416    06:30:45       2     40     53      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
 20260416    06:30:45       3     35     49      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
 20260416    06:30:48       0     47     76      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
 20260416    06:30:48       1     48     72      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
 20260416    06:30:48       2     40     53      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
 20260416    06:30:48       3     35     49      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
 20260416    06:30:50       0     47     76      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
 20260416    06:30:50       1     48     72      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
 20260416    06:30:50       2     40     53      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
 20260416    06:30:50       3     35     49      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
 20260416    06:30:52       0     47     76      -     19      7      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
 20260416    06:30:52       1     48     72      -     37     11      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     95     23 
 20260416    06:30:52       2     91     53      -      4      1      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0    143      0 
 20260416    06:30:52       3     66     50      -      9      3      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      2     22 
 20260416    06:30:53       0     48     77      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      7 
 20260416    06:30:53       1     48     73      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      2     18 
 20260416    06:30:53       2     67     53      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     46      6 
 20260416    06:30:53       3     36     50      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     58     66 
 20260416    06:30:55       0     47     77      -      8      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     74     11 
 20260416    06:30:55       1     75     73      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     31     14 
 20260416    06:30:55       2     67     54      -      7      2      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     38      8 
 20260416    06:30:55       3     36     50      -     11      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     58     66 
 20260416    06:30:56       0     47     77      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     94      0 
 20260416    06:30:56       1     50     73      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     46      9 
 20260416    06:30:56       2     61     53      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     30      7 
 20260416    06:30:56       3     36     50      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     56     66 
 20260416    06:30:57       0     47     77      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     73     12 
 20260416    06:30:57       1     78     72      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     30      0 
 20260416    06:30:57       2     46     54      -     12      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     22     19 
 20260416    06:30:57       3     38     50      -     12      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0    102     54 
 20260416    06:30:58       0     67     77      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     22      0 
 20260416    06:30:58       1     54     73      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     70      3 
 20260416    06:30:58       2     61     54      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     85      0 
 20260416    06:30:58       3     46     50      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     97     56 
 20260416    06:31:00       0     48     77      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     90      7 
 20260416    06:31:00       1     72     73      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     22      0 
 20260416    06:31:00       2     55     54      -      9      3      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      6     14 
 20260416    06:31:00       3     35     50      -     10      3      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     82     18 
 20260416    06:31:01       0     52     77      -      5      2      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     19     23 
 20260416    06:31:01       1     52     73      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     81      1 
 20260416    06:31:01       2     40     54      -      5      2      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     48      0 
 20260416    06:31:01       3     52     50      -      9      3      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     23     17 
