epoch,iso_ts,server,chassis_w
1787056082,21:28:02,aws-gpu01,486
1787056092,21:28:12,aws-gpu01,505
1787056102,21:28:22,aws-gpu01,491
1787056112,21:28:32,aws-gpu01,482
1787056122,21:28:42,aws-gpu01,486
1787056132,21:28:52,aws-gpu01,479
1787056142,21:29:02,aws-gpu01,493
1787056152,21:29:12,aws-gpu01,508
1787056162,21:29:22,aws-gpu01,484
1787056172,21:29:32,aws-gpu01,489
1787056182,21:29:42,aws-gpu01,473
1787056192,21:29:52,aws-gpu01,481
1787056202,21:30:02,aws-gpu01,481
1787056212,21:30:12,aws-gpu01,499
1787056222,21:30:22,aws-gpu01,476
1787056232,21:30:32,aws-gpu01,484
1787056242,21:30:42,aws-gpu01,489
1787056252,21:30:52,aws-gpu01,490
1787056262,21:31:02,aws-gpu01,492
1787056272,21:31:12,aws-gpu01,489
1787056282,21:31:22,aws-gpu01,478
1787056292,21:31:32,aws-gpu01,485
1787056302,21:31:42,aws-gpu01,481
1787056312,21:31:52,aws-gpu01,509
1787056322,21:32:02,aws-gpu01,487
1787056332,21:32:12,aws-gpu01,489
1787056342,21:32:22,aws-gpu01,493
1787056352,21:32:32,aws-gpu01,479
1787056362,21:32:42,aws-gpu01,485
1787056372,21:32:52,aws-gpu01,504
1787056383,21:33:03,aws-gpu01,487
1787056393,21:33:13,aws-gpu01,486
1787056403,21:33:23,aws-gpu01,484
1787056413,21:33:33,aws-gpu01,485
1787056423,21:33:43,aws-gpu01,492
1787056433,21:33:53,aws-gpu01,482
1787056443,21:34:03,aws-gpu01,487
1787056453,21:34:13,aws-gpu01,486
1787056463,21:34:23,aws-gpu01,483
1787056473,21:34:33,aws-gpu01,492
1787056483,21:34:43,aws-gpu01,488
1787056493,21:34:53,aws-gpu01,476
1787056503,21:35:03,aws-gpu01,479
1787056513,21:35:13,aws-gpu01,483
1787056523,21:35:23,aws-gpu01,482
1787056533,21:35:33,aws-gpu01,515
1787056543,21:35:43,aws-gpu01,507
1787056553,21:35:53,aws-gpu01,492
1787056563,21:36:03,aws-gpu01,497
1787056573,21:36:13,aws-gpu01,480
1787056583,21:36:23,aws-gpu01,485
1787056593,21:36:33,aws-gpu01,501
1787056603,21:36:43,aws-gpu01,491
1787056613,21:36:53,aws-gpu01,484
1787056623,21:37:03,aws-gpu01,489
1787056633,21:37:13,aws-gpu01,484
1787056643,21:37:23,aws-gpu01,489
1787056653,21:37:33,aws-gpu01,494
1787056663,21:37:43,aws-gpu01,481
1787056673,21:37:53,aws-gpu01,487
