epoch,iso_ts,server,chassis_w,gpu_total_w,gpu_busy_count,gpu_w,gpu_util,status
1787054172,2026-08-18T20:56:12,aws-gpu02,494,232.74,6,39.87;39.63;39.84;36.99;39.17;37.24,4;7;8;7;7;7,ok
1787054182,2026-08-18T20:56:22,aws-gpu02,495,267.51,6,43.47;44.91;45.12;42.27;45.63;46.11,4;6;4;7;8;7,ok
1787054192,2026-08-18T20:56:32,aws-gpu02,495,297.40,6,51.36;60.69;67.41;46.81;36.53;34.60,8;10;8;3;8;7,ok
1787054202,2026-08-18T20:56:42,aws-gpu02,497,234.41,6,51.12;38.67;38.43;34.82;36.77;34.60,8;10;8;7;5;3,ok
1787054212,2026-08-18T20:56:52,aws-gpu02,488,221.25,0,38.67;38.43;38.19;34.82;36.53;34.61,0;0;0;0;0;0,ok
1787054222,2026-08-18T20:57:02,aws-gpu02,463,221.21,0,38.67;38.19;38.40;34.58;36.77;34.60,0;0;0;0;0;0,ok
1787054232,2026-08-18T20:57:12,aws-gpu02,463,221.24,0,38.91;38.19;38.19;34.58;36.77;34.60,0;0;0;0;0;0,ok
1787054242,2026-08-18T20:57:22,aws-gpu02,463,221.96,0,38.91;38.43;38.43;34.82;36.77;34.60,0;0;0;0;0;0,ok
1787054252,2026-08-18T20:57:32,aws-gpu02,465,222.20,0,39.15;38.43;38.43;34.82;36.77;34.60,0;0;0;0;0;0,ok
1787054262,2026-08-18T20:57:42,aws-gpu02,464,221.96,0,39.15;38.43;38.43;34.82;36.53;34.60,0;0;0;0;0;0,ok
1787054272,2026-08-18T20:57:52,aws-gpu02,465,221.93,0,38.91;38.43;38.43;34.82;36.74;34.60,0;0;0;0;0;0,ok
1787054282,2026-08-18T20:58:02,aws-gpu02,464,221.73,0,38.91;38.43;38.43;34.82;36.53;34.61,0;0;0;0;0;0,ok
1787054292,2026-08-18T20:58:12,aws-gpu02,466,222.21,0,39.15;38.43;38.43;34.82;36.77;34.61,0;0;0;0;0;0,ok
1787054302,2026-08-18T20:58:22,aws-gpu02,465,221.73,0,38.91;38.43;38.19;34.82;36.77;34.61,0;0;0;0;0;0,ok
1787054312,2026-08-18T20:58:32,aws-gpu02,465,221.73,0,38.91;38.43;38.43;34.82;36.53;34.61,0;0;0;0;0;0,ok
1787054322,2026-08-18T20:58:42,aws-gpu02,465,222.20,0,39.15;38.43;38.43;34.82;36.77;34.60,0;0;0;0;0;0,ok
1787054332,2026-08-18T20:58:52,aws-gpu02,466,222.21,0,39.15;38.43;38.43;34.82;36.77;34.61,0;0;0;0;0;0,ok
1787054342,2026-08-18T20:59:02,aws-gpu02,464,222.21,0,39.15;38.43;38.43;34.82;36.77;34.61,0;0;0;0;0;0,ok
1787054352,2026-08-18T20:59:12,aws-gpu02,465,222.16,0,39.14;38.43;38.43;34.82;36.74;34.60,0;0;0;0;0;0,ok
1787054362,2026-08-18T20:59:22,aws-gpu02,466,222.16,0,39.14;38.43;38.43;34.82;36.74;34.60,0;0;0;0;0;0,ok
1787054372,2026-08-18T20:59:32,aws-gpu02,465,222.44,0,39.15;38.43;38.43;34.82;37.01;34.60,0;0;0;0;0;0,ok
1787054382,2026-08-18T20:59:42,aws-gpu02,464,222.21,0,39.15;38.43;38.43;34.82;36.77;34.61,0;0;0;0;0;0,ok
1787054392,2026-08-18T20:59:52,aws-gpu02,464,222.18,0,39.15;38.43;38.41;34.58;37.01;34.60,0;0;0;0;0;0,ok
1787054402,2026-08-18T21:00:02,aws-gpu02,464,222.20,0,39.15;38.43;38.43;34.82;36.77;34.60,0;0;0;0;0;0,ok
1787054412,2026-08-18T21:00:12,aws-gpu02,465,222.68,0,39.15;38.67;38.43;34.82;37.01;34.60,0;0;0;0;0;0,ok
1787054422,2026-08-18T21:00:22,aws-gpu02,466,222.45,0,39.15;38.43;38.43;34.82;36.77;34.85,0;0;0;0;0;0,ok
1787054432,2026-08-18T21:00:32,aws-gpu02,466,222.93,0,39.15;38.43;38.67;34.82;37.01;34.85,0;0;0;0;0;0,ok
1787054442,2026-08-18T21:00:42,aws-gpu02,465,222.92,0,39.15;38.67;38.43;34.82;37.01;34.84,0;0;0;0;0;0,ok
1787054452,2026-08-18T21:00:52,aws-gpu02,467,223.16,0,39.39;38.43;38.67;34.82;37.01;34.84,0;0;0;0;0;0,ok
1787054462,2026-08-18T21:01:02,aws-gpu02,466,222.68,0,39.15;38.43;38.67;34.82;36.77;34.84,0;0;0;0;0;0,ok
1787054472,2026-08-18T21:01:12,aws-gpu02,467,222.93,0,39.39;38.43;38.67;34.82;37.01;34.61,0;0;0;0;0;0,ok
1787054482,2026-08-18T21:01:22,aws-gpu02,467,223.13,0,39.39;38.43;38.64;34.82;37.01;34.84,0;0;0;0;0;0,ok
1787054492,2026-08-18T21:01:32,aws-gpu02,466,222.45,0,39.15;38.43;38.43;34.82;36.77;34.85,0;0;0;0;0;0,ok
1787054502,2026-08-18T21:01:42,aws-gpu02,466,223.17,0,39.39;38.43;38.67;34.82;37.01;34.85,0;0;0;0;0;0,ok
1787054512,2026-08-18T21:01:52,aws-gpu02,466,223.17,0,39.39;38.43;38.67;34.82;37.01;34.85,0;0;0;0;0;0,ok
1787054522,2026-08-18T21:02:02,aws-gpu02,466,222.68,0,39.39;38.43;38.67;34.82;36.77;34.60,0;0;0;0;0;0,ok
1787054532,2026-08-18T21:02:12,aws-gpu02,465,223.41,0,39.39;38.67;38.67;34.82;37.01;34.85,0;0;0;0;0;0,ok
1787054542,2026-08-18T21:02:22,aws-gpu02,466,223.16,0,39.39;38.43;38.67;34.82;37.01;34.84,0;0;0;0;0;0,ok
1787054552,2026-08-18T21:02:32,aws-gpu02,466,223.17,0,39.39;38.43;38.67;34.82;37.01;34.85,0;0;0;0;0;0,ok
1787054562,2026-08-18T21:02:42,aws-gpu02,466,222.93,0,39.39;38.43;38.43;34.82;37.01;34.85,0;0;0;0;0;0,ok
1787054572,2026-08-18T21:02:52,aws-gpu02,466,223.19,0,39.39;38.43;38.67;34.84;37.01;34.85,0;0;0;0;0;0,ok
1787054582,2026-08-18T21:03:02,aws-gpu02,466,223.65,0,39.39;38.91;38.67;34.82;37.01;34.85,0;0;0;0;0;0,ok
1787054592,2026-08-18T21:03:12,aws-gpu02,466,223.65,0,39.39;38.91;38.67;34.82;37.01;34.85,0;0;0;0;0;0,ok
1787054602,2026-08-18T21:03:22,aws-gpu02,467,223.65,0,39.39;38.91;38.67;34.82;37.01;34.85,0;0;0;0;0;0,ok
1787054612,2026-08-18T21:03:32,aws-gpu02,466,223.65,0,39.39;38.91;38.67;34.82;37.01;34.85,0;0;0;0;0;0,ok
1787054622,2026-08-18T21:03:42,aws-gpu02,514,334.23,1,45.86;44.88;137.06;34.82;37.01;34.60,0;0;96;0;0;0,ok
1787054632,2026-08-18T21:03:52,aws-gpu02,597,259.36,0,45.86;44.67;45.12;40.11;42.75;40.85,0;0;0;0;0;0,ok
1787054642,2026-08-18T21:04:02,aws-gpu02,509,346.64,1,46.35;44.91;45.36;40.81;128.60;40.61,0;0;0;0;96;0,ok
1787054652,2026-08-18T21:04:12,aws-gpu02,549,388.77,6,59.04;65.49;65.49;60.73;70.09;67.93,7;11;9;9;8;8,ok
1787054662,2026-08-18T21:04:22,aws-gpu02,558,296.80,6,51.39;51.15;50.17;45.87;49.71;48.51,7;8;6;6;6;6,ok
1787054672,2026-08-18T21:04:32,aws-gpu02,514,229.89,6,40.35;39.63;39.63;35.78;38.45;36.05,8;9;7;6;7;6,ok
1787054682,2026-08-18T21:04:42,aws-gpu02,513,278.51,6,67.44;56.62;46.56;35.08;37.73;35.08,8;9;7;6;7;6,ok
1787054692,2026-08-18T21:04:52,aws-gpu02,479,307.19,1,123.17;38.43;38.67;35.06;37.01;34.85,99;0;0;0;0;0,ok
1787054702,2026-08-18T21:05:02,aws-gpu02,556,258.41,1,45.62;44.19;44.65;40.11;42.77;41.07,0;0;0;0;0;37,ok
1787054712,2026-08-18T21:05:12,aws-gpu02,610,308.05,1,125.96;37.95;38.19;34.82;36.77;34.36,98;0;0;0;0;0,ok
1787054723,2026-08-18T21:05:23,aws-gpu02,562,334.28,2,45.38;44.19;44.43;40.35;43.47;116.46,0;0;0;0;96;18,ok
