epoch,iso_ts,server,chassis_w,gpu_total_w,gpu_busy_count,gpu_w,gpu_util,status
1787054171,2026-08-18T20:56:11,aws-gpu01,592,272.91,7,36.25;39.97;41.18;37.21;38.71;38.71;40.88,8;5;7;10;8;9;7,ok
1787054181,2026-08-18T20:56:21,aws-gpu01,592,333.43,7,38.22;46.60;44.88;43.86;46.82;54.22;58.83,8;5;3;9;8;9;7,ok
1787054191,2026-08-18T20:56:31,aws-gpu01,594,285.47,7,36.74;40.96;41.92;38.69;40.17;42.17;44.82,5;9;7;7;8;9;4,ok
1787054201,2026-08-18T20:56:41,aws-gpu01,589,304.88,7,37.73;42.17;43.65;41.15;43.12;45.59;51.47,5;9;7;7;8;8;4,ok
1787054211,2026-08-18T20:56:51,aws-gpu01,583,269.22,0,36.25;39.47;41.18;36.72;37.97;37.73;39.90,0;0;0;0;0;0;0,ok
1787054221,2026-08-18T20:57:01,aws-gpu01,483,269.17,0,36.24;39.45;41.18;36.72;37.95;37.73;39.90,0;0;0;0;0;0;0,ok
1787054231,2026-08-18T20:57:11,aws-gpu01,487,269.45,0,36.25;39.45;41.18;36.72;38.22;37.73;39.90,0;0;0;0;0;0;0,ok
1787054241,2026-08-18T20:57:21,aws-gpu01,484,268.42,0,36.24;39.45;40.93;36.72;37.95;37.73;39.40,0;0;0;0;0;0;0,ok
1787054251,2026-08-18T20:57:31,aws-gpu01,495,269.05,0,36.51;39.47;41.18;36.74;37.97;37.75;39.43,0;0;0;0;0;0;0,ok
1787054261,2026-08-18T20:57:41,aws-gpu01,494,268.69,0,36.49;39.47;40.93;36.72;37.95;37.73;39.40,0;0;0;0;0;0;0,ok
1787054271,2026-08-18T20:57:51,aws-gpu01,490,268.67,0,36.24;39.45;41.18;36.72;37.95;37.73;39.40,0;0;0;0;0;0;0,ok
1787054281,2026-08-18T20:58:01,aws-gpu01,478,269.17,0,36.49;39.45;41.18;36.72;38.20;37.73;39.40,0;0;0;0;0;0;0,ok
1787054291,2026-08-18T20:58:11,aws-gpu01,490,268.49,0,36.27;39.47;40.93;36.72;37.97;37.73;39.40,0;0;0;0;0;0;0,ok
1787054301,2026-08-18T20:58:21,aws-gpu01,491,269.22,0,36.49;39.45;41.18;36.72;38.22;37.73;39.43,0;0;0;0;0;0;0,ok
1787054311,2026-08-18T20:58:31,aws-gpu01,497,269.45,0,36.49;39.47;41.42;36.72;38.22;37.73;39.40,0;0;0;0;0;0;0,ok
1787054321,2026-08-18T20:58:41,aws-gpu01,479,268.97,0,36.25;39.45;41.18;36.72;38.22;37.75;39.40,0;0;0;0;0;0;0,ok
1787054331,2026-08-18T20:58:51,aws-gpu01,478,269.41,0,36.49;39.45;41.42;36.72;38.20;37.73;39.40,0;0;0;0;0;0;0,ok
1787054341,2026-08-18T20:59:01,aws-gpu01,498,269.53,0,36.49;39.47;41.45;36.72;38.22;37.75;39.43,0;0;0;0;0;0;0,ok
1787054351,2026-08-18T20:59:11,aws-gpu01,496,269.76,0,36.49;39.47;41.42;36.74;38.22;37.75;39.67,0;0;0;0;0;0;0,ok
1787054361,2026-08-18T20:59:21,aws-gpu01,502,269.26,0,36.27;39.45;41.42;36.72;38.22;37.75;39.43,0;0;0;0;0;0;0,ok
1787054371,2026-08-18T20:59:31,aws-gpu01,484,268.97,0,36.25;39.45;41.18;36.72;38.22;37.75;39.40,0;0;0;0;0;0;0,ok
1787054381,2026-08-18T20:59:41,aws-gpu01,485,269.40,0,36.49;39.45;41.42;36.72;37.95;37.97;39.40,0;0;0;0;0;0;0,ok
1787054391,2026-08-18T20:59:51,aws-gpu01,480,269.45,0,36.49;39.45;41.42;36.72;38.22;37.75;39.40,0;0;0;0;0;0;0,ok
1787054401,2026-08-18T21:00:01,aws-gpu01,488,269.19,0,36.49;39.45;41.18;36.72;38.22;37.73;39.40,0;0;0;0;0;0;0,ok
1787054411,2026-08-18T21:00:11,aws-gpu01,483,269.21,0,36.49;39.47;41.18;36.72;38.22;37.73;39.40,0;0;0;0;0;0;0,ok
1787054421,2026-08-18T21:00:21,aws-gpu01,494,269.43,0,36.49;39.45;41.42;36.72;38.22;37.73;39.40,0;0;0;0;0;0;0,ok
1787054431,2026-08-18T21:00:31,aws-gpu01,494,269.19,0,36.25;39.45;41.42;36.72;38.22;37.73;39.40,0;0;0;0;0;0;0,ok
1787054441,2026-08-18T21:00:41,aws-gpu01,483,268.93,0,36.49;39.45;41.42;36.72;37.97;37.48;39.40,0;0;0;0;0;0;0,ok
1787054451,2026-08-18T21:00:51,aws-gpu01,487,269.18,0,36.49;39.47;41.42;36.47;38.20;37.73;39.40,0;0;0;0;0;0;0,ok
1787054461,2026-08-18T21:01:01,aws-gpu01,482,269.46,0,36.49;39.45;41.18;36.72;38.22;37.73;39.67,0;0;0;0;0;0;0,ok
1787054471,2026-08-18T21:01:11,aws-gpu01,494,268.78,0,36.51;39.23;41.45;36.49;37.97;37.73;39.40,0;0;0;0;0;0;0,ok
1787054481,2026-08-18T21:01:21,aws-gpu01,482,269.25,0,36.49;39.47;41.42;36.47;38.22;37.75;39.43,0;0;0;0;0;0;0,ok
1787054491,2026-08-18T21:01:31,aws-gpu01,482,269.01,0,36.49;39.47;41.18;36.47;38.22;37.75;39.43,0;0;0;0;0;0;0,ok
1787054501,2026-08-18T21:01:41,aws-gpu01,489,269.03,0,36.51;39.23;41.42;36.72;38.22;37.50;39.43,0;0;0;0;0;0;0,ok
1787054511,2026-08-18T21:01:51,aws-gpu01,489,269.30,0,36.49;39.47;41.45;36.49;38.22;37.75;39.43,0;0;0;0;0;0;0,ok
1787054521,2026-08-18T21:02:01,aws-gpu01,494,269.20,0,36.49;39.45;41.42;36.49;38.22;37.73;39.40,0;0;0;0;0;0;0,ok
1787054531,2026-08-18T21:02:11,aws-gpu01,499,268.92,0,36.49;39.45;41.18;36.47;38.20;37.73;39.40,0;0;0;0;0;0;0,ok
