NCCL-HANG try 1  10:35:14  gpu=[100 %, 0 % 100 %, 0 % 100 %, 0 % 100 %, 0 % 100 %, 0 % 100 %, 0 % 100 %, 0 % ]
NCCL-HANG try 2  10:37:07  gpu=[100 %, 0 % 100 %, 0 % 100 %, 0 % 100 %, 0 % 100 %, 0 % 100 %, 0 % 100 %, 0 % ]
NCCL-HANG try 3  10:39:01  gpu=[100 %, 0 % 100 %, 0 % 100 %, 0 % 100 %, 0 % 100 %, 0 % 100 %, 0 % 100 %, 0 % ]
NCCL-HANG try 4  10:40:54  gpu=[100 %, 0 % 100 %, 0 % 100 %, 0 % 100 %, 0 % 100 %, 0 % 100 %, 0 % 100 %, 0 % ]
NCCL-HANG try 5  10:42:47  gpu=[100 %, 0 % 100 %, 0 % 100 %, 0 % 100 %, 0 % 100 %, 0 % 100 %, 0 % 100 %, 0 % ]
NCCL-HANG try 6  10:44:41  gpu=[100 %, 0 % 100 %, 0 % 100 %, 0 % 100 %, 0 % 100 %, 0 % 100 %, 0 % 100 %, 0 % ]
NCCL-HANG try 7  10:46:35  gpu=[100 %, 0 % 100 %, 0 % 100 %, 0 % 100 %, 0 % 100 %, 0 % 100 %, 0 % 100 %, 0 % ]
NCCL-HANG try 8  10:48:28  gpu=[100 %, 0 % 100 %, 0 % 100 %, 0 % 100 %, 0 % 100 %, 0 % 100 %, 0 % 100 %, 0 % ]
NCCL-HANG try 9  10:50:22  gpu=[100 %, 0 % 100 %, 0 % 100 %, 0 % 100 %, 0 % 100 %, 0 % 100 %, 0 % 100 %, 0 % ]
NCCL-HANG try 10  10:52:15  gpu=[100 %, 0 % 100 %, 0 % 100 %, 0 % 100 %, 0 % 100 %, 0 % 100 %, 0 % 100 %, 0 % ]
NCCL-GIVEUP after 10 tries
