ub	phase	run	eval_tps	prompt_tps	prompt_n	predicted_n
1584	warmup	1	15.668356707032883	9.970457844982127	64	256
1584	warmup	2	15.379672446619919	10.515435426929143	64	256
1584	eval	1	15.36278158523382	68.99689202387026	1085	256
1584	eval	2	15.363375333560782	69.08760237938976	1085	256
1584	eval	3	15.353493189586255	69.15431412336963	1085	256
1584	eval	4	15.357620490281237	69.13593022330396	1085	256
1584	eval	5	15.35939514701911	69.03341637279215	1085	256
1586	warmup	1	15.186391000449778	10.117473350733281	64	256
1586	warmup	2	15.157392947359796	10.364981779495702	64	256
1586	eval	1	15.139971998148663	68.30750742946448	1085	256
1586	eval	2	15.149198299691857	68.51644220953844	1085	256
1586	eval	3	15.147092767008779	68.42485109869499	1085	256
1586	eval	4	15.145446574733016	68.29275170316458	1085	256
1586	eval	5	15.148661328775479	68.43273150793068	1085	256
1664	warmup	1	15.158490605140566	9.998589261546378	64	256
1664	warmup	2	15.15414398650713	10.264019447750849	64	256
1664	eval	1	15.136749295579442	68.10831997426824	1085	256
1664	eval	2	15.133352620475971	68.10979499830542	1085	256
1664	eval	3	15.130957252917971	68.14882295991002	1085	256
1664	eval	4	15.141581177358487	68.24434166350395	1085	256
1664	eval	5	15.133071720355968	68.14279237355916	1085	256
