label	ot_tag	cpu_layers	threads	kv	split_mode	ctx	ub	run_index	phase	run	eval_tps	prompt_tps	prompt_n	predicted_n
B28_run1	B28	28	40	q8_0	layer	32768	512	1	warmup	1	15.93108907849789	13.370015691998164	79	256
B28_run1	B28	28	40	q8_0	layer	32768	512	1	warmup	2	15.61173612263019	13.603752982708942	79	256
B28_run1	B28	28	40	q8_0	layer	32768	512	1	eval	1	15.999617009167844	38.72041557847632	1100	256
B28_run1	B28	28	40	q8_0	layer	32768	512	1	eval	2	16.03932139886691	38.83733585620668	1100	256
B28_run1	B28	28	40	q8_0	layer	32768	512	1	eval	3	16.03544434529473	38.86101474658927	1100	256
B28_run1	B28	28	40	q8_0	layer	32768	512	1	eval	4	16.04372918937178	38.91747436346756	1100	256
B28_run1	B28	28	40	q8_0	layer	32768	512	1	eval	5	16.046075302350992	38.915421541221214	1100	256
B24_run1	B24	24	40	q8_0	layer	32768	512	2	warmup	1	16.952279465743615	15.511733055247884	79	256
B24_run1	B24	24	40	q8_0	layer	32768	512	2	warmup	2	16.42932390444166	15.674954617038043	79	256
B24_run1	B24	24	40	q8_0	layer	32768	512	2	eval	1	16.89340676070179	43.63995293232713	1100	256
B24_run1	B24	24	40	q8_0	layer	32768	512	2	eval	2	16.88952482641395	43.62561716863161	1100	256
B24_run1	B24	24	40	q8_0	layer	32768	512	2	eval	3	16.88480159434739	43.62521577130868	1100	256
B24_run1	B24	24	40	q8_0	layer	32768	512	2	eval	4	16.87860190848198	43.69391885514941	1100	256
B24_run1	B24	24	40	q8_0	layer	32768	512	2	eval	5	16.84872282073946	43.638609473957985	1100	256
B20_run1	B20	20	40	q8_0	layer	32768	512	3	warmup	1	17.83185535579079	18.782115336928562	79	256
B20_run1	B20	20	40	q8_0	layer	32768	512	3	warmup	2	17.239926781492212	18.865833831646075	79	256
B20_run1	B20	20	40	q8_0	layer	32768	512	3	eval	1	17.724521744284033	50.39950311588055	1100	256
B20_run1	B20	20	40	q8_0	layer	32768	512	3	eval	2	17.726902797783058	50.44765413822107	1100	256
B20_run1	B20	20	40	q8_0	layer	32768	512	3	eval	3	17.730207876298557	50.45002338129265	1100	256
B20_run1	B20	20	40	q8_0	layer	32768	512	3	eval	4	17.728332964685578	50.4914817886635	1100	256
B20_run1	B20	20	40	q8_0	layer	32768	512	3	eval	5	17.718662659018943	50.44819552766657	1100	256
B18_run1	B18	18	40	q8_0	layer	32768	512	4	warmup	1	18.106598638666696	20.382257631736465	79	256
B18_run1	B18	18	40	q8_0	layer	32768	512	4	warmup	2	17.507427834006332	21.30995819741491	79	256
B18_run1	B18	18	40	q8_0	layer	32768	512	4	eval	1	18.001181186881162	54.72130167450665	1100	256
B18_run1	B18	18	40	q8_0	layer	32768	512	4	eval	2	18.008584044830684	54.79866968756788	1100	256
B18_run1	B18	18	40	q8_0	layer	32768	512	4	eval	3	18.00597981403058	54.78952603573373	1100	256
B18_run1	B18	18	40	q8_0	layer	32768	512	4	eval	4	18.003958761088523	54.848152888727554	1100	256
B18_run1	B18	18	40	q8_0	layer	32768	512	4	eval	5	18.009100927292828	54.80835163683149	1100	256
B20_run2	B20	20	40	q8_0	layer	32768	512	5	warmup	1	17.61921584716321	18.772586510732214	79	256
B20_run2	B20	20	40	q8_0	layer	32768	512	5	warmup	2	16.891937590361145	19.18776956994622	79	256
B20_run2	B20	20	40	q8_0	layer	32768	512	5	eval	1	17.360702571357404	50.31901109419833	1100	256
B20_run2	B20	20	40	q8_0	layer	32768	512	5	eval	2	17.352137085136498	50.378569762480154	1100	256
B20_run2	B20	20	40	q8_0	layer	32768	512	5	eval	3	17.36397025009272	50.42440155976427	1100	256
B20_run2	B20	20	40	q8_0	layer	32768	512	5	eval	4	17.359106271838314	50.41551320173754	1100	256
B20_run2	B20	20	40	q8_0	layer	32768	512	5	eval	5	17.35106331857115	50.39576481322803	1100	256
B24_run2	B24	24	40	q8_0	layer	32768	512	6	warmup	1	17.19872767037456	15.771025472002837	79	256
B24_run2	B24	24	40	q8_0	layer	32768	512	6	warmup	2	16.666672092015656	15.953697925817325	79	256
B24_run2	B24	24	40	q8_0	layer	32768	512	6	eval	1	17.1220759875057	44.05338036205231	1100	256
B24_run2	B24	24	40	q8_0	layer	32768	512	6	eval	2	17.12412381009079	44.05482534905039	1100	256
B24_run2	B24	24	40	q8_0	layer	32768	512	6	eval	3	17.12485693051656	44.05249118639807	1100	256
B24_run2	B24	24	40	q8_0	layer	32768	512	6	eval	4	17.123674804826898	44.043273396977995	1100	256
B24_run2	B24	24	40	q8_0	layer	32768	512	6	eval	5	17.118285143688947	44.068411802482174	1100	256
B28_run2	B28	28	40	q8_0	layer	32768	512	7	warmup	1	16.66164647787112	13.394981900666544	79	256
B28_run2	B28	28	40	q8_0	layer	32768	512	7	warmup	2	16.15691188903837	13.515247423121338	79	256
B28_run2	B28	28	40	q8_0	layer	32768	512	7	eval	1	16.569587867747764	38.58466265973129	1100	256
B28_run2	B28	28	40	q8_0	layer	32768	512	7	eval	2	16.565638917603742	38.57955818619821	1100	256
B28_run2	B28	28	40	q8_0	layer	32768	512	7	eval	3	16.566804214284364	38.54382818703148	1100	256
B28_run2	B28	28	40	q8_0	layer	32768	512	7	eval	4	16.57624197169218	38.59960357505317	1100	256
B28_run2	B28	28	40	q8_0	layer	32768	512	7	eval	5	16.565960510244526	38.57670070382489	1100	256
