CELL,COND_ID,UB,PROMPT_TAG,role,idx,eval_tps,prompt_tps,prompt_n,predicted_n,prompt_ms,predicted_ms,wallclock,max_gpu_used,err
B0_baseline_start_32k,B0_baseline_32k,base,32k,warmup,1,16.77921631883657,407.10252873950594,32083,256,78808.157,15256.97,95,9993,
B0_baseline_start_32k,B0_baseline_32k,base,32k,warmup,2,16.835479615851185,19.74460355304141,4,256,202.587,15205.982,16,9993,
B0_baseline_start_32k,B0_baseline_32k,base,32k,eval,1,17.372323432217367,22.204458655297984,4,256,180.144,14736.083,16,9993,
B0_baseline_start_32k,B0_baseline_32k,base,32k,eval,2,16.670837632097665,23.383471393245685,4,256,171.061,15356.157,16,9993,
B0_baseline_start_32k,B0_baseline_32k,base,32k,eval,3,17.175552801205185,23.282073967148992,4,256,171.806,14904.906,16,9993,
B0_baseline_start_32k,B0_baseline_32k,base,32k,eval,4,16.923848565138602,23.839322963227847,4,256,167.79,15126.583,16,9993,
B0_baseline_start_32k,B0_baseline_32k,base,32k,eval,5,16.51808456033343,24.719892715665615,4,256,161.813,15498.165,17,9993,
E1a_mmvq_force_32k,E1a_mmvq_force,base,32k,warmup,1,17.328790031451078,407.1429516767657,32086,256,78807.701,14773.103,95,9993,
E1a_mmvq_force_32k,E1a_mmvq_force,base,32k,warmup,2,16.87137821431883,24.03658368036151,4,256,166.413,15173.627,16,9993,
E1a_mmvq_force_32k,E1a_mmvq_force,base,32k,eval,1,16.45578725289723,28.21769955204402,4,256,141.755,15556.837,17,9993,
E1a_mmvq_force_32k,E1a_mmvq_force,base,32k,eval,2,16.78176818216085,26.60812878334331,4,256,150.33,15254.65,16,9993,
E1a_mmvq_force_32k,E1a_mmvq_force,base,32k,eval,3,16.460594173438338,27.810416391459423,4,256,143.831,15552.294,17,9993,
E1a_mmvq_force_32k,E1a_mmvq_force,base,32k,eval,4,16.259353971407545,24.06854722248965,4,256,166.192,15744.783,17,9993,
E1a_mmvq_force_32k,E1a_mmvq_force,base,32k,eval,5,17.057054447916784,32.261186566441914,4,256,123.988,15008.453,16,9993,
E1b_mmvq_disable_32k,E1b_mmvq_disable,base,32k,warmup,1,16.3865327024945,406.7797246208012,32086,256,78878.071,15622.585,95,9993,
E1b_mmvq_disable_32k,E1b_mmvq_disable,base,32k,warmup,2,16.81164190440966,23.679427905021814,4,256,168.923,15227.543,16,9993,
E1b_mmvq_disable_32k,E1b_mmvq_disable,base,32k,eval,1,16.46348517961566,27.63747918552349,4,256,144.731,15549.563,16,9993,
E1b_mmvq_disable_32k,E1b_mmvq_disable,base,32k,eval,2,16.954556358203682,27.987097947846042,4,256,142.923,15099.186,16,9993,
E1b_mmvq_disable_32k,E1b_mmvq_disable,base,32k,eval,3,16.26445908824619,26.055406822608276,4,256,153.519,15739.841,17,9993,
E1b_mmvq_disable_32k,E1b_mmvq_disable,base,32k,eval,4,16.844579864923578,27.760620172254647,4,256,144.089,15197.767,16,9993,
E1b_mmvq_disable_32k,E1b_mmvq_disable,base,32k,eval,5,17.041060768755536,24.830531621682017,4,256,161.092,15022.539,16,9993,
E5a_ub4096_32k,E5a_ub4096,-ub 4096,32k,warmup,1,16.743706246847882,406.9668070226742,32087,256,78844.268,15289.327,95,9993,
E5a_ub4096_32k,E5a_ub4096,-ub 4096,32k,warmup,2,16.427656035941144,24.14963111438473,4,256,165.634,15583.477,16,9993,
E5a_ub4096_32k,E5a_ub4096,-ub 4096,32k,eval,1,16.7401051592481,24.54123233798185,4,256,162.991,15292.616,16,9993,
E5a_ub4096_32k,E5a_ub4096,-ub 4096,32k,eval,2,17.218037319961375,26.333633975654557,4,256,151.897,14868.129,16,9993,
E5a_ub4096_32k,E5a_ub4096,-ub 4096,32k,eval,3,16.634374753489613,27.657926761809936,4,256,144.624,15389.818,16,9993,
E5a_ub4096_32k,E5a_ub4096,-ub 4096,32k,eval,4,16.84059071792688,26.390098435067163,4,256,151.572,15201.367,17,9993,
E5a_ub4096_32k,E5a_ub4096,-ub 4096,32k,eval,5,17.076387684962793,25.16071406106505,4,256,158.978,14991.461,16,9993,
E5b_ub1024_32k,E5b_ub1024,-ub 1024,32k,warmup,1,17.131312244464894,410.9066117111035,32087,256,78088.303,14943.397,94,8798,
E5b_ub1024_32k,E5b_ub1024,-ub 1024,32k,warmup,2,16.82414769919265,20.944491860446853,4,256,190.981,15216.224,17,8798,
E5b_ub1024_32k,E5b_ub1024,-ub 1024,32k,eval,1,17.109407106245207,28.01905295601009,4,256,142.76,14962.529,16,8798,
E5b_ub1024_32k,E5b_ub1024,-ub 1024,32k,eval,2,16.568280635090673,28.162667567872028,4,256,142.032,15451.211,16,8798,
E5b_ub1024_32k,E5b_ub1024,-ub 1024,32k,eval,3,16.197446877435944,24.177511287875582,4,256,165.443,15804.96,16,8798,
E5b_ub1024_32k,E5b_ub1024,-ub 1024,32k,eval,4,16.46871295142688,26.097906295467446,4,256,153.269,15544.627,17,8798,
E5b_ub1024_32k,E5b_ub1024,-ub 1024,32k,eval,5,16.679121713936123,27.84022494901759,4,256,143.677,15348.53,16,8798,
E5c_ub512_32k,E5c_ub512,-ub 512,32k,warmup,1,16.620133538877642,362.6393412509326,32086,256,88479.093,15403.005,104,8202,
E5c_ub512_32k,E5c_ub512,-ub 512,32k,warmup,2,17.012468345013122,24.133312417795903,4,256,165.746,15047.787,16,8202,
E5c_ub512_32k,E5c_ub512,-ub 512,32k,eval,1,17.245560615450945,23.921585044225033,4,256,167.213,14844.4,16,8202,
E5c_ub512_32k,E5c_ub512,-ub 512,32k,eval,2,17.09905569796976,28.117333633251558,4,256,142.261,14971.587,16,8202,
E5c_ub512_32k,E5c_ub512,-ub 512,32k,eval,3,16.969353083185624,27.92730522450062,4,256,143.229,15086.02,16,8202,
E5c_ub512_32k,E5c_ub512,-ub 512,32k,eval,4,16.713644412122694,27.906457554278056,4,256,143.336,15316.827,17,8202,
E5c_ub512_32k,E5c_ub512,-ub 512,32k,eval,5,17.15795384429988,27.929060187124705,4,256,143.22,14920.194,15,8202,
E6_sm_row_32k,E6_sm_row,-sm row,32k,warmup,1,17.574524737825506,411.9483590894897,32083,256,77881.121,14566.539,94,8392,
E6_sm_row_32k,E6_sm_row,-sm row,32k,warmup,2,16.624492839324407,21.463027252678856,4,256,186.367,15398.966,16,8392,
E6_sm_row_32k,E6_sm_row,-sm row,32k,eval,1,17.526903283055997,23.98541686654514,4,256,166.768,14606.117,16,8392,
E6_sm_row_32k,E6_sm_row,-sm row,32k,eval,2,16.778222182199173,23.945643389505822,4,256,167.045,15257.874,16,8392,
E6_sm_row_32k,E6_sm_row,-sm row,32k,eval,3,16.52647673914538,23.997936177488736,4,256,166.681,15490.295,16,8392,
E6_sm_row_32k,E6_sm_row,-sm row,32k,eval,4,17.041114084134644,23.707496903208217,4,256,168.723,15022.492,16,8392,
E6_sm_row_32k,E6_sm_row,-sm row,32k,eval,5,16.454845878192874,24.159987436806535,4,256,165.563,15557.727,16,8392,
E7_xfer_queue_32k,E7_xfer_queue,base,32k,warmup,1,16.952104345499777,406.84560205597785,32084,256,78860.383,15101.37,94,9993,
E7_xfer_queue_32k,E7_xfer_queue,base,32k,warmup,2,16.825627217975867,20.726462511010933,4,256,192.99,15214.886,17,9993,
E7_xfer_queue_32k,E7_xfer_queue,base,32k,eval,1,16.526151343395348,22.724690376093623,4,256,176.02,15490.6,17,9993,
E7_xfer_queue_32k,E7_xfer_queue,base,32k,eval,2,14.024499376046736,23.688823613019377,4,256,168.856,18253.771,20,9993,
E7_xfer_queue_32k,E7_xfer_queue,base,32k,eval,3,16.619199161042054,23.108564033830937,4,256,173.096,15403.871,17,9993,
E7_xfer_queue_32k,E7_xfer_queue,base,32k,eval,4,17.42975281955188,17.715184127195023,4,256,225.795,14687.529,16,9993,
E7_xfer_queue_32k,E7_xfer_queue,base,32k,eval,5,16.977220482830823,24.88351404985412,4,256,160.749,15079.029,16,9993,
E8a_threads6_32k,E8a_threads6,-t 6,32k,warmup,1,17.41991822028861,407.1292023584664,32084,256,78805.45,14695.821,94,9993,
E8a_threads6_32k,E8a_threads6,-t 6,32k,warmup,2,16.899053963234127,21.921531876647542,4,256,182.469,15148.777,16,9993,
E8a_threads6_32k,E8a_threads6,-t 6,32k,eval,1,16.86432734291785,23.169467276023656,4,256,172.641,15179.971,17,9993,
E8a_threads6_32k,E8a_threads6,-t 6,32k,eval,2,17.028446885247625,23.149219871290338,4,256,172.792,15033.667,16,9993,
E8a_threads6_32k,E8a_threads6,-t 6,32k,eval,3,17.712735138288718,23.08855615714071,4,256,173.246,14452.878,15,9993,
E8a_threads6_32k,E8a_threads6,-t 6,32k,eval,4,16.691333110043285,23.236225275204042,4,256,172.145,15337.301,17,9993,
E8a_threads6_32k,E8a_threads6,-t 6,32k,eval,5,17.281708728950573,23.10202431488059,4,256,173.145,14813.35,16,9993,
E8b_threads24_32k,E8b_threads24,-t 24,32k,warmup,1,16.748850528350996,406.5540594495695,32085,256,78919.394,15284.631,95,9993,
E8b_threads24_32k,E8b_threads24,-t 24,32k,warmup,2,16.87655007981092,24.045831354561795,4,256,166.349,15168.977,16,9993,
E8b_threads24_32k,E8b_threads24,-t 24,32k,eval,1,16.792934005671682,24.562933305495342,4,256,162.847,15244.507,16,9993,
E8b_threads24_32k,E8b_threads24,-t 24,32k,eval,2,16.698768309286237,26.73278575677175,4,256,149.629,15330.472,16,9993,
E8b_threads24_32k,E8b_threads24,-t 24,32k,eval,3,16.366930208340793,27.45819489826739,4,256,145.676,15641.296,16,9993,
E8b_threads24_32k,E8b_threads24,-t 24,32k,eval,4,16.8631031548297,29.56808420990383,4,256,135.281,15181.073,16,9993,
E8b_threads24_32k,E8b_threads24,-t 24,32k,eval,5,16.83676623596991,27.660795662787237,4,256,144.609,15204.82,16,9993,
E9_maingpu1_32k,E9_maingpu1,-mg 1,32k,warmup,1,17.66551100181803,406.4980753959986,32085,256,78930.263,14491.514,94,9993,
E9_maingpu1_32k,E9_maingpu1,-mg 1,32k,warmup,2,17.076589303491282,23.846855494017422,4,256,167.737,14991.284,16,9993,
E9_maingpu1_32k,E9_maingpu1,-mg 1,32k,eval,1,17.26875950540654,23.635353762157436,4,256,169.238,14824.458,15,9993,
E9_maingpu1_32k,E9_maingpu1,-mg 1,32k,eval,2,16.397014769739155,28.52375315544019,4,256,140.234,15612.598,16,9993,
E9_maingpu1_32k,E9_maingpu1,-mg 1,32k,eval,3,16.83159658870876,28.0245495053667,4,256,142.732,15209.49,17,9993,
E9_maingpu1_32k,E9_maingpu1,-mg 1,32k,eval,4,17.37998492422089,25.758424614750563,4,256,155.289,14729.587,16,9993,
E9_maingpu1_32k,E9_maingpu1,-mg 1,32k,eval,5,16.841683113074602,24.519269080588707,4,256,163.137,15200.381,16,9993,
E10_suballoc2g_32k,E10_suballoc2g,base,32k,warmup,1,16.543694028514864,406.3808815007484,32086,256,78955.486,15474.174,95,9993,
E10_suballoc2g_32k,E10_suballoc2g,base,32k,warmup,2,16.89593883670141,21.13182029500021,4,256,189.288,15151.57,16,9993,
E10_suballoc2g_32k,E10_suballoc2g,base,32k,eval,1,16.72871538887598,28.05580299215139,4,256,142.573,15303.028,16,9993,
E10_suballoc2g_32k,E10_suballoc2g,base,32k,eval,2,16.432488724809346,24.814357587300012,4,256,161.197,15578.894,17,9993,
E10_suballoc2g_32k,E10_suballoc2g,base,32k,eval,3,16.756669399880177,26.074769401258106,4,256,153.405,15277.499,16,9993,
