ub	phase	run	eval_tps	prompt_tps	prompt_n	predicted_n
1584	warmup	1	15.096784838912292	10.114777830461074	65	256
1584	warmup	2	15.09340874377677	10.448966364134261	65	256
1584	eval	1	15.08271188338	68.53444701599378	1086	256
1584	eval	2	15.085685811482318	68.55285924128522	1086	256
1584	eval	3	15.077030373914475	68.585810479975	1086	256
1584	eval	4	15.086477930898981	68.53195157100666	1086	256
1584	eval	5	15.083446812702714	68.51651153291878	1086	256
1586	warmup	1	15.377117191773193	10.30481810489956	65	256
1586	warmup	2	15.276574018223519	10.527238094867906	65	256
1586	eval	1	15.262051207758844	68.5109918189927	1086	256
1586	eval	2	15.263066705444396	68.60739249076295	1086	256
1586	eval	3	15.253861193199926	68.25002964728498	1086	256
1586	eval	4	15.261489830214138	68.74810088119114	1086	256
1586	eval	5	15.280575237254808	68.68306918706125	1086	256
1664	warmup	1	14.35623045540823	10.018319653446285	65	256
1664	warmup	2	14.310757312419652	10.384519588958348	65	256
1664	eval	1	14.305038860532129	68.11146598202309	1086	256
1664	eval	2	14.299725143642416	68.28670051741953	1086	256
1664	eval	3	14.295516925892041	68.34270328996487	1086	256
1664	eval	4	14.293320374056194	68.3367600296151	1086	256
1664	eval	5	14.295143336732153	68.26912619918869	1086	256
