ub	phase	run	eval_tps	prompt_tps	prompt_n	predicted_n
1584	warmup	1	14.72879286841055	10.079161736276717	65	256
1584	warmup	2	14.681501176613356	10.481360512844908	65	256
1584	eval	1	14.660189687965305	68.48296177332782	1086	256
1584	eval	2	14.663923214657324	68.61627447874535	1086	256
1584	eval	3	14.66755359529813	68.65088370628801	1086	256
1584	eval	4	14.66414328838487	68.65944705626414	1086	256
1584	eval	5	14.664166808105229	68.49890083232472	1086	256
1586	warmup	1	15.09150996452316	10.289458291680814	65	256
1586	warmup	2	15.067850944816056	10.555860231965841	65	256
1586	eval	1	15.063276056599085	69.31884658800956	1086	256
1586	eval	2	15.05537850456572	68.70200032895985	1086	256
1586	eval	3	15.055983262451608	68.66833818638067	1086	256
1586	eval	4	15.06031184258209	68.65395203061132	1086	256
1586	eval	5	15.057190267126318	68.66990566044895	1086	256
1664	warmup	1	14.299917646997706	10.127999212197476	65	256
1664	warmup	2	14.283023466114866	10.378817249147179	65	256
1664	eval	1	14.26214275212669	67.90147308681972	1086	256
1664	eval	2	14.260772258697985	67.94171026676818	1086	256
1664	eval	3	14.260809596187908	67.94128096591231	1086	256
1664	eval	4	14.264411596922052	67.96598521483229	1086	256
1664	eval	5	14.26652135620227	68.01624423318073	1086	256
