tag	run	eval_tps	prompt_tps	prompt_n	predicted_n	gpu0_used	gpu1_used	gpu2_used	gpu3_used
Sbf3_f16_fa1_ctx32768_b1585_ub1585_1k	1	14.962348943836426	68.18045593494635	1092	256	2937MiB	10651MiB	10655MiB	3885MiB
Sbf3_f16_fa1_ctx32768_b1585_ub1585_1k	2	14.960349230652351	68.26949093966327	1092	256	2937MiB	10651MiB	10655MiB	3885MiB
Sbf3_f16_fa1_ctx32768_b1585_ub1585_1k	3	14.965133868675922	68.2954036380311	1092	256	2937MiB	10651MiB	10655MiB	3885MiB
Sbf3_f16_fa1_ctx32768_b1585_ub1585_warmup	1	15.113963714325068	10.763681700649581	71	256	2887MiB	10605MiB	10605MiB	3847MiB
Sbf3_f16_fa1_ctx32768_b1585_ub1585_warmup	2	14.979597320337284	11.085107080573117	71	256	2887MiB	10605MiB	10605MiB	3847MiB
Sbf3_f16_fa1_ctx32768_b1585_ub1585_warmup	3	14.974003725719303	11.094091490003677	71	256	2887MiB	10605MiB	10605MiB	3847MiB
Sbf3_f16_fa1_ctx32768_b1586_ub1586_1k	1	15.465710917952169	68.72092733479352	1092	256	2937MiB	10651MiB	10655MiB	3887MiB
Sbf3_f16_fa1_ctx32768_b1586_ub1586_1k	2	15.463070955019194	68.7574211735834	1092	256	2937MiB	10651MiB	10655MiB	3887MiB
Sbf3_f16_fa1_ctx32768_b1586_ub1586_1k	3	15.466004302811555	68.76682134373519	1092	256	2937MiB	10651MiB	10655MiB	3887MiB
Sbf3_f16_fa1_ctx32768_b1586_ub1586_warmup	1	15.496831442780431	10.942112832601703	71	256	2887MiB	10605MiB	10605MiB	3849MiB
Sbf3_f16_fa1_ctx32768_b1586_ub1586_warmup	2	15.492115209293333	11.170343650115889	71	256	2887MiB	10605MiB	10605MiB	3849MiB
Sbf3_f16_fa1_ctx32768_b1586_ub1586_warmup	3	15.489054804632197	11.191045650324273	71	256	2887MiB	10605MiB	10605MiB	3849MiB
Sbf3_f16_fa1_ctx32768_b1588_ub1588_1k	1	14.677799089254034	68.82174091400188	1092	256	2937MiB	10651MiB	10655MiB	3889MiB
Sbf3_f16_fa1_ctx32768_b1588_ub1588_1k	2	14.680337654647465	68.87443282661428	1092	256	2937MiB	10651MiB	10655MiB	3889MiB
Sbf3_f16_fa1_ctx32768_b1588_ub1588_1k	3	14.679288790751727	68.87236078369935	1092	256	2937MiB	10651MiB	10655MiB	3889MiB
Sbf3_f16_fa1_ctx32768_b1588_ub1588_warmup	1	14.705975279025775	10.942576594568443	71	256	2887MiB	10605MiB	10605MiB	3851MiB
Sbf3_f16_fa1_ctx32768_b1588_ub1588_warmup	2	14.7032825882464	11.19351394199458	71	256	2887MiB	10605MiB	10605MiB	3851MiB
Sbf3_f16_fa1_ctx32768_b1588_ub1588_warmup	3	14.700617052658357	11.126423437826642	71	256	2887MiB	10605MiB	10605MiB	3851MiB
Sbf3_f16_fa1_ctx32768_b1592_ub1592_1k	1	15.375578536172851	68.12941944376198	1092	256	2939MiB	10653MiB	10657MiB	3893MiB
Sbf3_f16_fa1_ctx32768_b1592_ub1592_1k	2	15.372359992328231	68.31930993993407	1092	256	2939MiB	10653MiB	10657MiB	3893MiB
Sbf3_f16_fa1_ctx32768_b1592_ub1592_1k	3	15.381954971970593	68.13705431534054	1092	256	2939MiB	10653MiB	10657MiB	3893MiB
Sbf3_f16_fa1_ctx32768_b1592_ub1592_warmup	1	15.406205366763675	10.837460981324458	71	256	2889MiB	10607MiB	10607MiB	3855MiB
Sbf3_f16_fa1_ctx32768_b1592_ub1592_warmup	2	15.393342595796199	11.046208155679968	71	256	2889MiB	10607MiB	10607MiB	3855MiB
Sbf3_f16_fa1_ctx32768_b1592_ub1592_warmup	3	15.39818966611853	11.086497005786995	71	256	2889MiB	10607MiB	10607MiB	3855MiB
