7.55.835.374 I slot print_timing: id  0 | task 4102 | n_decoded =   1222, tg =  16.09 t/s, tg_3s =  16.41 t/s
7.58.889.235 I slot print_timing: id  0 | task 4102 | n_decoded =   1270, tg =  16.07 t/s, tg_3s =  15.72 t/s
8.01.896.444 I slot print_timing: id  0 | task 4102 | n_decoded =   1319, tg =  16.08 t/s, tg_3s =  16.29 t/s
8.04.908.750 I slot print_timing: id  0 | task 4102 | n_decoded =   1366, tg =  16.06 t/s, tg_3s =  15.60 t/s
8.07.922.320 I slot print_timing: id  0 | task 4102 | n_decoded =   1413, tg =  16.05 t/s, tg_3s =  15.60 t/s
8.10.982.628 I slot print_timing: id  0 | task 4102 | n_decoded =   1462, tg =  16.05 t/s, tg_3s =  16.01 t/s
8.13.991.277 I slot print_timing: id  0 | task 4102 | n_decoded =   1510, tg =  16.04 t/s, tg_3s =  15.95 t/s
8.17.036.851 I slot print_timing: id  0 | task 4102 | n_decoded =   1559, tg =  16.05 t/s, tg_3s =  16.09 t/s
8.20.068.241 I slot print_timing: id  0 | task 4102 | n_decoded =   1606, tg =  16.03 t/s, tg_3s =  15.50 t/s
8.23.114.921 I slot print_timing: id  0 | task 4102 | n_decoded =   1655, tg =  16.03 t/s, tg_3s =  16.08 t/s
8.26.171.135 I slot print_timing: id  0 | task 4102 | n_decoded =   1705, tg =  16.04 t/s, tg_3s =  16.36 t/s
8.29.232.996 I slot print_timing: id  0 | task 4102 | n_decoded =   1754, tg =  16.04 t/s, tg_3s =  16.00 t/s
8.32.236.150 I slot print_timing: id  0 | task 4102 | n_decoded =   1801, tg =  16.03 t/s, tg_3s =  15.65 t/s
8.35.290.405 I slot print_timing: id  0 | task 4102 | n_decoded =   1853, tg =  16.06 t/s, tg_3s =  17.03 t/s
8.38.293.156 I slot print_timing: id  0 | task 4102 | n_decoded =   1905, tg =  16.09 t/s, tg_3s =  17.32 t/s
8.41.339.499 I slot print_timing: id  0 | task 4102 | n_decoded =   1953, tg =  16.08 t/s, tg_3s =  15.76 t/s
8.44.376.395 I slot print_timing: id  0 | task 4102 | n_decoded =   2003, tg =  16.09 t/s, tg_3s =  16.46 t/s
8.47.258.708 I slot print_timing: id  0 | task 4102 | prompt eval time =    3949.37 ms /  1690 tokens (    2.34 ms per token,   427.92 tokens per second)
8.47.258.719 I slot print_timing: id  0 | task 4102 |        eval time =  127381.08 ms /  2048 tokens (   62.20 ms per token,    16.08 tokens per second)
8.47.258.722 I slot print_timing: id  0 | task 4102 |       total time =  131330.45 ms /  3738 tokens
8.47.258.725 I slot print_timing: id  0 | task 4102 |    graphs reused =       6115
8.47.260.382 I slot      release: id  0 | task 4102 | stop processing: n_tokens = 5421, truncated = 0
8.47.260.559 I srv  update_slots: all slots are idle
8.48.083.633 I srv    operator(): Chat format: peg-native
