label	ot_tag	cpu_layers	threads	kv	split_mode	ctx	ub	run_index	phase	run	eval_tps	prompt_tps	prompt_n	predicted_n
B28_32k_ub512a	B28	28	40	q8_0	layer	32768	512	1	warmup	1	16.360991995065117	13.972457088564168	83	256
B28_32k_ub512a	B28	28	40	q8_0	layer	32768	512	1	warmup	2	16.035922470824957	14.173865168631428	83	256
B28_32k_ub512a	B28	28	40	q8_0	layer	32768	512	1	eval	1	16.454453494251034	38.87125754996717	1104	256
B28_32k_ub512a	B28	28	40	q8_0	layer	32768	512	1	eval	2	16.45751373897033	38.86438684089881	1104	256
B28_32k_ub512a	B28	28	40	q8_0	layer	32768	512	1	eval	3	16.45899402371355	38.8908430206701	1104	256
B28_32k_ub512a	B28	28	40	q8_0	layer	32768	512	1	eval	4	16.449663899953144	38.86237302450044	1104	256
B28_32k_ub512a	B28	28	40	q8_0	layer	32768	512	1	eval	5	16.45385279174963	38.861453742919444	1104	256
B28_32k_ub1586	B28	28	40	q8_0	layer	32768	1586	2	warmup	1	16.052778525897175	13.917718448532279	84	256
B28_32k_ub1586	B28	28	40	q8_0	layer	32768	1586	2	warmup	2	15.577518233606794	14.250086645616122	84	256
B28_32k_ub1586	B28	28	40	q8_0	layer	32768	1586	2	eval	1	15.463296988746405	77.32055246759272	1105	256
B28_32k_ub1586	B28	28	40	q8_0	layer	32768	1586	2	eval	2	15.457428791972955	77.4303820281911	1105	256
B28_32k_ub1586	B28	28	40	q8_0	layer	32768	1586	2	eval	3	15.456541247501068	77.37420652050994	1105	256
B28_32k_ub1586	B28	28	40	q8_0	layer	32768	1586	2	eval	4	15.450960732892181	77.31641915966638	1105	256
B28_32k_ub1586	B28	28	40	q8_0	layer	32768	1586	2	eval	5	15.44681760258995	77.3239611560807	1105	256
B28_32k_ub1024	B28	28	40	q8_0	layer	32768	1024	3	warmup	1	16.051441861520825	14.06972722316346	84	256
B28_32k_ub1024	B28	28	40	q8_0	layer	32768	1024	3	warmup	2	15.571757211974194	14.272112089090601	84	256
B28_32k_ub1024	B28	28	40	q8_0	layer	32768	1024	3	eval	1	15.978214702891027	56.891832871050724	1105	256
