elapsed_s,mode,duty0,fan1,fan2,fan3,fan4,fan5,fan6,fan7,fan8,cpu1,gpu_max,power
8,01,10,9100,8600,9200,9500,5300,5300,,5500,52,45,on
21,01,10,,,,,,,,,,,on
30,01,10,,,,,,,,,,,on
40,01,10,,,,,,,,,,,on
49,01,10,,,,,,,,,,,on
58,01,10,,,,,,,,,,,on
68,01,64,2500,2300,3400,3300,2000,2900,,3200,51,42,on
79,01,64,3500,3500,4200,2500,4100,3500,,3700,55,,on
92,01,64,3200,3000,2600,2500,3200,3300,,2800,56,,on
106,01,64,4700,4300,3900,4100,2900,3100,,3700,56,46,on
119,01,10,4100,3600,4400,2900,3300,3400,,4200,51,46,on
132,01,64,2300,5000,2700,2600,2600,3400,,2700,53,47,on
143,01,64,9900,9600,7300,7300,6200,6300,,9500,50,46,on
