elapsed_s,mode,duty0,fan1,fan2,fan3,fan4,fan5,fan6,fan7,fan8,cpu1,gpu_max,power
9,01,64,4100,4000,4400,3000,3600,2900,,5000,48,53,on
19,01,10,7700,7600,3700,6100,3300,3500,,4800,48,53,on
29,01,10,,,,,,,,,,,on
39,01,10,,,,,,,,,,,on
49,01,10,,,,,,,,,,,on
58,01,10,,,,,,,,,,,on
68,01,64,5200,4400,3000,2500,3000,3800,,3400,52,52,on
81,01,64,8300,8300,6300,6800,9400,4600,,5200,55,,on
95,01,64,7200,7200,2600,3000,4100,4300,,2500,55,,on
108,01,64,10100,7700,4100,4100,4900,3700,,2600,56,,on
122,01,64,7200,8700,2500,2900,4700,5000,,2600,56,,on
135,01,10,,,,,,,,,,,on
149,01,64,9800,9400,4600,5000,5500,5500,,5300,55,49,on
162,01,10,5500,5100,4400,4200,3500,3700,,2900,55,48,on
175,01,10,3300,2800,2800,2900,3400,3400,,2800,55,48,on
188,01,64,4700,3700,2500,2300,2800,2900,,2600,56,48,on
201,01,64,6300,5900,3800,3700,3500,3600,,4300,56,49,on
214,01,64,7500,9400,8300,9200,4000,4600,,7700,56,48,on
229,01,64,8400,8000,5400,5000,4200,4300,,3100,56,47,on
243,01,10,2400,2200,2500,3700,6500,6400,,4300,56,47,on
255,01,10,6100,10200,4600,7400,2300,5200,,4600,56,47,on
269,01,10,8500,8400,5300,7800,3600,3600,,7200,56,48,on
282,01,10,4200,4300,4200,4800,2800,2600,,3100,56,48,on
295,01,10,3400,2400,3100,3000,3000,3300,,3700,57,46,on
308,01,64,3600,4800,2900,2100,3600,3000,,3000,57,48,on
321,01,64,10200,9400,8600,8500,7500,7300,,6600,56,47,on
334,01,10,8600,8300,6900,6700,4300,4500,,5500,56,47,on
348,01,64,2800,2900,2900,3000,3000,3300,,2100,56,47,on
361,01,64,4900,6800,5200,5300,5100,5100,,6100,56,47,on
374,01,10,9800,9700,9100,9200,8900,8900,,8200,55,47,on
387,01,10,2900,3200,3600,3800,5100,5000,,3900,55,47,on
400,01,64,2400,2200,2700,2200,3600,3200,,2800,55,47,on
413,01,10,8600,8800,2900,3000,4700,5000,,2500,55,47,on
427,01,10,3800,3300,3400,3900,2200,2400,,4500,55,47,on
440,01,64,4400,4200,8600,4900,2900,2900,,6500,56,48,on
453,01,64,9000,9500,8100,10000,5900,7600,,8800,55,47,on
466,01,10,3700,3600,3700,3600,2900,3400,,6100,55,47,on
479,01,64,2500,2700,2200,2200,2200,2500,,2600,56,47,on
492,01,64,9600,9200,2400,2200,5100,5400,,2800,56,47,on
505,01,10,3900,3500,3100,2800,3100,4200,,2600,56,47,on
518,01,64,9200,9700,3100,3100,4400,5500,,3800,56,47,on
531,01,64,3800,2900,3500,2900,2400,2500,,2800,56,47,on
544,01,64,7800,7400,3700,3700,4400,4500,,3800,56,47,on
557,01,64,4800,4100,2900,2600,4300,4100,,2600,55,47,on
570,01,10,9800,9100,3700,4300,4600,4500,,3500,55,47,on
583,01,64,2200,2900,2500,2800,2600,2700,,4200,56,47,on
596,01,64,7700,7200,2900,2900,4400,5400,,2900,56,47,on
