ts,mode,duty0,duty1,fan1,fan2,fan3,fan4,fan5,fan6,fan7,fan8,cpu1,cpu2,system,periph,gpu_max,pch
2026-08-17T22:08:13,01,10,10,2900,2900,2900,3000,2900,2900,,2900,59,55,43,45,58,52
2026-08-17T22:08:44,01,10,10,2900,2900,2900,3000,2900,2900,,2900,59,55,43,45,58,52
2026-08-17T22:09:15,01,10,10,2900,2900,2900,3000,2900,2900,,2900,59,55,43,45,59,52
2026-08-17T22:09:46,01,10,10,2900,2900,2900,3000,2900,2900,,2900,59,55,43,45,59,52
2026-08-17T22:10:17,01,10,10,2900,2900,2900,3000,2900,2900,,2900,59,55,43,45,59,52
2026-08-17T22:10:48,01,10,10,2900,2900,2900,3000,2900,2900,,2900,59,55,43,45,60,52
2026-08-17T22:11:19,01,10,10,2900,2900,2900,3000,2900,2900,,2900,59,55,43,45,59,52
2026-08-17T22:11:51,01,10,10,2900,2900,2900,3000,2900,2900,,2900,59,55,43,45,60,52
2026-08-17T22:12:22,01,1c,1c,4200,4100,4100,4200,4200,4200,,4200,59,55,42,45,61,52
2026-08-17T22:12:53,01,10,10,2900,2900,3000,3000,3000,3000,,2900,58,55,43,45,60,52
2026-08-17T22:13:24,01,10,10,3000,2900,3000,3000,3000,3000,,2900,58,54,43,45,61,52
2026-08-17T22:13:55,01,1c,1c,4200,4100,4100,4200,4200,4200,,4200,58,54,43,45,59,52
2026-08-17T22:14:26,02,46,4a,8400,8400,8800,8800,8300,8300,,8800,56,53,42,45,58,51
2026-08-17T22:14:57,01,64,64,10600,10300,10400,10800,5200,5300,,11900,55,51,41,44,54,50
2026-08-17T22:15:28,01,64,64,10600,10300,10400,10800,5100,5200,,11800,55,49,41,43,51,50
2026-08-17T22:16:00,01,64,64,10600,10300,10400,10800,5100,5200,,11800,54,48,40,42,49,49
2026-08-17T22:16:31,01,10,10,10600,10300,10400,10800,5100,5200,,11800,54,47,40,42,49,49
2026-08-17T22:17:02,01,10,10,2900,2900,3000,2900,2900,2900,,2900,55,48,41,42,50,50
2026-08-17T22:17:33,01,10,10,2900,2900,3000,2900,2900,2900,,2900,56,49,41,42,52,50
2026-08-17T22:18:04,01,10,10,2900,2900,3000,2900,2900,2900,,2900,56,51,42,42,53,50
2026-08-17T22:18:35,01,10,10,2900,2900,3000,2900,2900,2900,,2900,57,51,42,43,54,51
2026-08-17T22:19:06,01,10,10,2900,2900,3000,2900,2900,2900,,2900,57,52,42,43,55,51
2026-08-17T22:19:37,01,10,10,2900,2900,3000,2900,2900,2900,,2900,57,52,42,43,57,51
2026-08-17T22:20:08,01,10,10,2900,2900,3000,2900,2900,2900,,2900,58,53,43,44,58,51
2026-08-17T22:20:39,01,10,10,2900,2900,2900,2900,2900,2900,,2900,58,53,43,44,58,51
2026-08-17T22:21:10,01,64,64,10600,10300,10400,10700,5200,5400,,5600,57,53,42,43,58,51
2026-08-17T22:21:41,01,10,10,2900,2900,3000,3000,2900,2900,,2900,57,52,42,43,56,51
2026-08-17T22:22:12,01,10,10,2900,2900,3000,3000,2900,2900,,2900,57,53,42,43,56,51
2026-08-17T22:22:43,01,10,10,2900,2900,3000,3000,2900,2900,,2900,58,53,43,44,58,52
2026-08-17T22:23:14,01,10,10,2900,2900,3000,3000,2900,2900,,2900,58,54,43,44,58,52
2026-08-17T22:23:45,01,10,10,2900,2900,3000,3000,2900,2900,,2900,58,54,43,44,60,52
2026-08-17T22:24:16,01,1c,1c,4200,4100,4100,4100,4100,4100,,4000,58,54,43,45,59,52
2026-08-17T22:24:47,02,46,46,8300,8300,8400,8400,8300,8200,,8300,56,52,41,44,56,51
2026-08-17T22:25:18,01,10,10,4200,4000,3000,2900,4000,4000,,2900,55,51,43,44,55,50
2026-08-17T22:25:49,01,10,10,2900,2900,3000,3000,2900,2900,,2900,56,52,43,44,57,51
2026-08-17T22:26:20,01,10,10,2900,2900,3000,3000,2900,2900,,2900,56,53,43,44,58,51
2026-08-17T22:26:51,01,10,10,2900,2900,3000,3000,2900,2900,,2900,57,53,43,44,59,51
2026-08-17T22:27:24,01,10,10,2900,2900,3000,3000,2900,2900,,2900,57,53,43,44,60,52
2026-08-17T22:27:55,01,10,10,3000,2900,3000,2900,2900,2900,,2900,58,54,43,45,60,52
2026-08-17T22:28:26,01,1c,1c,4300,4200,3900,4200,3200,3300,,3200,57,53,42,45,58,51
2026-08-17T22:28:57,01,1c,1c,4200,4100,4100,4200,4200,4200,,4200,56,53,42,45,58,51
2026-08-17T22:29:28,01,10,10,3000,3000,3000,3000,3000,2900,,2900,57,53,43,44,58,51
2026-08-17T22:29:59,01,10,10,3000,3000,3000,3000,3000,2900,,2900,57,53,43,45,59,52
2026-08-17T22:30:30,01,10,10,3000,3000,3000,3000,3000,2900,,2900,58,54,43,45,61,52
2026-08-17T22:31:04,01,10,10,3000,3000,3000,3000,3000,2900,,2900,58,54,43,45,60,52
2026-08-17T22:31:35,01,1c,1c,4200,4200,4100,4200,4200,4200,,4200,58,54,43,45,61,52
2026-08-17T22:32:06,01,64,64,8300,7800,3000,3000,4500,5300,,3000,58,53,43,45,59,52
2026-08-17T22:32:37,01,10,10,,,,,,,,,,,,,,
2026-08-17T22:33:08,01,10,10,6900,8600,2700,2900,4900,5000,,2900,57,55,43,44,,51
