ts,mode,duty0,duty1,fan1,fan2,fan3,fan4,fan5,fan6,fan7,fan8,cpu1,cpu2,system,periph,gpu_max,pch
2026-08-17T21:48:33,02,34,32,6500,6600,6400,6400,6600,6500,6400,6300,41,39,39,39,46,50
2026-08-17T21:48:49,02,34,32,6500,6600,6400,6400,6600,6500,6400,6300,41,39,39,39,46,51
2026-08-17T21:49:05,02,34,32,6500,6600,6400,6400,6600,6500,6400,6300,41,39,39,39,46,50
2026-08-17T21:49:21,02,34,32,6500,6600,6400,6400,6600,6500,6400,6300,41,39,39,39,46,50
2026-08-17T21:49:37,02,34,32,6500,6600,6400,6400,6600,6500,6400,6300,41,39,39,39,46,51
2026-08-17T21:49:53,02,34,32,6500,6600,6400,6400,6600,6500,6400,6300,41,39,39,39,46,51
2026-08-17T21:50:09,02,34,32,6500,6600,6400,6400,6600,6500,6400,6300,41,39,39,39,46,51
2026-08-17T21:50:25,02,34,32,6500,6600,6400,6400,6600,6500,6400,6300,41,39,39,39,46,51
2026-08-17T21:50:41,02,34,32,6500,6600,6400,6400,6600,6500,6400,6300,41,39,39,39,46,50
2026-08-17T21:50:57,02,34,32,6500,6600,6400,6400,6600,6500,6400,6300,41,39,39,39,46,51
2026-08-17T21:51:13,02,34,32,6500,6600,6400,6400,6600,6500,6400,6300,41,39,39,39,46,50
2026-08-17T21:51:29,02,34,32,6500,6600,6400,6400,6600,6500,6400,6300,41,39,39,39,46,50
2026-08-17T21:51:45,02,34,32,6500,6600,6400,6400,6600,6500,6400,6300,41,39,39,39,46,50
2026-08-17T21:52:01,02,34,32,6500,6600,6400,6400,6600,6500,6400,6300,41,39,39,39,46,50
2026-08-17T21:52:17,02,34,32,6500,6600,6400,6400,6600,6500,6400,6300,41,39,39,39,46,50
