ub	phase	run	eval_tps	prompt_tps	prompt_n	predicted_n
1584	warmup	1	15.474285334336743	10.320615477049015	65	256
1584	warmup	2	15.324098090030752	10.467074689341251	65	256
1584	eval	1	15.303439101219457	68.79920988605367	1086	256
1584	eval	2	15.305475773105886	69.0055612382419	1086	256
1584	eval	3	15.303580900437591	68.91774704965727	1086	256
1584	eval	4	15.30408773976977	69.02185857433889	1086	256
1584	eval	5	15.305109754376904	69.02850953718483	1086	256
1586	warmup	1	15.557614373534067	10.17933641688924	65	256
1586	warmup	2	15.468476091657488	10.564878021981773	65	256
1586	eval	1	15.447018927485722	68.6539042893771	1086	256
1586	eval	2	15.445304105669532	68.72424699646247	1086	256
1586	eval	3	15.446217387288018	68.7901410425925	1086	256
1586	eval	4	15.44692199262156	68.78164090067975	1086	256
1586	eval	5	15.449417520749893	68.82628246306322	1086	256
1664	warmup	1	14.583692822310864	10.216195121153858	65	256
1664	warmup	2	14.519395530340205	10.482770276862865	65	256
1664	eval	1	14.493467465845521	68.03397839902392	1086	256
1664	eval	2	14.499657870377476	68.19345919233702	1086	256
1664	eval	3	14.494991385955021	68.1459953277951	1086	256
1664	eval	4	14.497514723896813	68.15698247574778	1086	256
1664	eval	5	14.501074665580294	68.13356688633364	1086	256
