ub	phase	run	eval_tps	prompt_tps	prompt_n	predicted_n
1584	warmup	1	14.875446030952086	10.025466226594972	65	256
1584	warmup	2	14.866350636700826	10.393195367129234	65	256
1584	eval	1	14.86026158820323	68.15263252721822	1086	256
1584	eval	2	14.85992776681987	68.26121341283816	1086	256
1584	eval	3	14.863069904385174	68.20825273381001	1086	256
1584	eval	4	14.863806885704987	68.31204337550565	1086	256
1584	eval	5	14.861055228963872	68.2249942203504	1086	256
1586	warmup	1	14.646798741885759	10.272322428288522	65	256
1586	warmup	2	14.475350259654421	10.406028836866927	65	256
1586	eval	1	14.4489544121378	68.4523614425875	1086	256
1586	eval	2	14.454965639247987	68.57453309804144	1086	256
1586	eval	3	14.44563276075397	68.59147222310646	1086	256
1586	eval	4	14.45622840389121	68.58892064091357	1086	256
1586	eval	5	14.448829639155154	68.5654541230188	1086	256
1664	warmup	1	15.24952057830471	10.211232701582695	65	256
1664	warmup	2	15.20209161778046	10.337357268927462	65	256
1664	eval	1	15.179776884555958	67.90675489625836	1086	256
1664	eval	2	15.186381991608576	67.97107286330022	1086	256
1664	eval	3	15.180973211868153	68.14288672343149	1086	256
1664	eval	4	15.170182484851004	67.99810632161365	1086	256
1664	eval	5	15.18086788428692	67.97552730794754	1086	256
