ub	phase	run	eval_tps	prompt_tps	prompt_n	predicted_n
1584	warmup	1	14.563698888243636	10.26150579230428	65	256
1584	warmup	2	14.547227488804744	10.495312551215106	65	256
1584	eval	1	14.53500008147549	68.21842433907749	1086	256
1584	eval	2	14.535227031161712	68.25190407729082	1086	256
1584	eval	3	14.546415765996356	68.38941233658095	1086	256
1584	eval	4	14.529576855019739	68.26710920851642	1086	256
1584	eval	5	14.543045853485062	68.24891447462068	1086	256
1586	warmup	1	15.548320322851154	10.213799975141182	65	256
1586	warmup	2	15.358669939183267	10.51496303505187	65	256
1586	eval	1	15.340962785640789	68.57415205314231	1086	256
1586	eval	2	15.335758459887288	68.70976350554936	1086	256
1586	eval	3	15.339144592229513	68.70008805757143	1086	256
1586	eval	4	15.340150152505661	68.65447284838872	1086	256
1586	eval	5	15.344555398100704	68.46200176084774	1086	256
1664	warmup	1	14.78179444171039	10.380832830262204	65	256
1664	warmup	2	14.721824512516397	10.604287786666529	65	256
1664	eval	1	14.712608164968795	68.62668090343803	1086	256
1664	eval	2	14.72091023068184	68.82075197888179	1086	256
1664	eval	3	14.717618910024642	68.85526224439623	1086	256
1664	eval	4	14.7074436670437	68.85097985214917	1086	256
1664	eval	5	14.713637271482412	68.78371019332783	1086	256
