ub	phase	run	eval_tps	prompt_tps	prompt_n	predicted_n
1584	warmup	1	14.838778411478629	10.320831789178115	65	256
1584	warmup	2	14.83256324712157	10.366806315522203	65	256
1584	eval	1	14.811519080389807	68.32661759020324	1086	256
1584	eval	2	14.814166695021907	68.49350491103476	1086	256
1584	eval	3	14.81758110628755	68.45538184109425	1086	256
1584	eval	4	14.814017532621218	68.45971442086864	1086	256
1584	eval	5	14.81387351660178	68.45033792469542	1086	256
1586	warmup	1	14.822027686968733	10.198663692631733	65	256
1586	warmup	2	14.758734187183757	10.514223155813347	65	256
1586	eval	1	14.73104139428386	68.18518720130132	1086	256
1586	eval	2	14.729289468281857	68.23225556108589	1086	256
1586	eval	3	14.728675926554535	68.18609907703899	1086	256
1586	eval	4	14.73254446696273	67.96029016415602	1086	256
1586	eval	5	14.734689822692182	68.19658097759987	1086	256
1664	warmup	1	15.459967862591805	10.2214516820185	65	256
1664	warmup	2	15.417948358906951	10.505699099322172	65	256
1664	eval	1	15.397069985697565	68.62997692933179	1086	256
1664	eval	2	15.394222896922146	68.9685261559325	1086	256
1664	eval	3	15.392806688896044	68.86902538216759	1086	256
1664	eval	4	15.400330385212795	68.91777766439554	1086	256
1664	eval	5	15.397605263382655	68.81339973044918	1086	256
