ub	phase	run	eval_tps	prompt_tps	prompt_n	predicted_n
1584	warmup	1	15.776472041903789	10.071549567051262	63	256
1584	warmup	2	15.486395624899657	10.249285397045927	63	256
1584	eval	1	15.46402090155725	68.10240868293145	1084	256
1584	eval	2	15.468136816395209	68.16235669713389	1084	256
1584	eval	3	15.471194569610706	68.1835364938541	1084	256
1584	eval	4	15.474032789838153	68.19046351335258	1084	256
1584	eval	5	15.472657034776491	68.2703179614483	1084	256
1586	warmup	1	15.22386545480733	10.146768986899877	63	256
1586	warmup	2	15.217610341792877	10.342555280957978	63	256
1586	eval	1	15.201471454932241	68.56639000802998	1084	256
1586	eval	2	15.206035845853565	68.62917837894715	1084	256
1586	eval	3	15.203608386405408	68.63457527512873	1084	256
1586	eval	4	15.205978040191775	68.69305692531525	1084	256
1586	eval	5	15.202951985692598	68.588854551576	1084	256
1664	warmup	1	15.064917731720062	9.997326111984334	63	256
1664	warmup	2	15.063180332805672	10.21042056074009	63	256
1664	eval	1	15.042061364089335	68.02849590689986	1084	256
1664	eval	2	15.042997411252927	68.07862402801122	1084	256
1664	eval	3	15.036482853886852	68.18755099126709	1084	256
1664	eval	4	15.045828358953264	68.07791429367406	1084	256
1664	eval	5	15.041005246784414	68.09631658605775	1084	256
