ub	phase	run	eval_tps	prompt_tps	prompt_n	predicted_n
1584	warmup	1	15.346117288456172	10.152325491677123	65	256
1584	warmup	2	15.069184923680758	10.278833115237578	65	256
1584	eval	1	15.0458593089907	68.13654211691578	1086	256
1584	eval	2	15.045295154016218	68.31250745398907	1086	256
1584	eval	3	15.046821476516378	68.1890318005138	1086	256
1584	eval	4	15.044380923724988	68.25753656539263	1086	256
1584	eval	5	15.040373414870958	68.2249942203504	1086	256
1586	warmup	1	15.163613913302866	10.23707490546455	65	256
1586	warmup	2	15.155079680791397	10.490500287116923	65	256
1586	eval	1	15.138495651023614	68.62213204035588	1086	256
1586	eval	2	15.134392220544036	68.63719893487202	1086	256
1586	eval	3	15.138492965390686	68.75816424058823	1086	256
1586	eval	4	15.137894988185936	68.71859375180931	1086	256
1586	eval	5	15.140491339698096	68.64966860415501	1086	256
1664	warmup	1	14.896835341903902	10.11397359039216	65	256
1664	warmup	2	14.88663161291362	10.404707922240656	65	256
1664	eval	1	14.868322707419347	67.99090749955987	1086	256
1664	eval	2	14.869104254956813	68.21488492758198	1086	256
1664	eval	3	14.8732655433904	68.19913771421736	1086	256
1664	eval	4	14.86517230650917	68.2067833718645	1086	256
1664	eval	5	14.87098375972394	68.16944941556937	1086	256
