ub	phase	run	eval_tps	prompt_tps	prompt_n	predicted_n
1584	warmup	1	14.652509442569318	10.05651296137541	65	256
1584	warmup	2	14.64197427347925	10.260755797800599	65	256
1584	eval	1	14.625364712891237	67.91063610629679	1086	256
1584	eval	2	14.624792382219862	67.9641179496615	1086	256
1584	eval	3	14.624569310718341	67.96640632070056	1086	256
1584	eval	4	14.622577842807631	67.9941044227911	1086	256
1584	eval	5	14.618387841932515	67.99476002075906	1086	256
1586	warmup	1	15.355523864793412	10.171860627356546	65	256
1586	warmup	2	15.348315327541144	10.401937256794705	65	256
1586	eval	1	15.314943436410081	68.17929270575739	1086	256
1586	eval	2	15.328651986967532	68.36344398915678	1086	256
1586	eval	3	15.326544911236855	68.36020793840784	1086	256
1586	eval	4	15.324635644815173	68.34185603265709	1086	256
1586	eval	5	15.321910649440133	68.27083858906681	1086	256
1664	warmup	1	14.713529026717872	10.077425636350668	65	256
1664	warmup	2	14.707547597444542	10.289945330311994	65	256
1664	eval	1	14.687780810575017	67.89502054418297	1086	256
1664	eval	2	14.670434981835593	68.09791853632866	1086	256
1664	eval	3	14.676908779285377	67.97509332492093	1086	256
1664	eval	4	14.668235174668599	67.8440588689021	1086	256
1664	eval	5	14.677923640281016	67.79570021690255	1086	256
