label	ot_tag	cpu_layers	ts	threads	kv	split_mode	ctx	ub	run_index	phase	run	eval_tps	prompt_tps	prompt_n	predicted_n
B18_default_a	B18	18		40	q8_0	layer	32768	256	1	warmup	1	18.36358375092553	20.57153604720874	77	256
B18_default_a	B18	18		40	q8_0	layer	32768	256	1	warmup	2	17.555428522524164	20.86998002444769	77	256
B18_default_a	B18	18		40	q8_0	layer	32768	256	1	eval	1	18.081575877143603	38.547564288946646	1098	256
B18_default_a	B18	18		40	q8_0	layer	32768	256	1	eval	2	18.083472603150494	38.58059259157752	1098	256
B18_default_a	B18	18		40	q8_0	layer	32768	256	1	eval	3	18.079430565735045	38.62468133318751	1098	256
B18_default_a	B18	18		40	q8_0	layer	32768	256	1	eval	4	18.074218814259233	38.629838334478386	1098	256
B18_default_a	B18	18		40	q8_0	layer	32768	256	1	eval	5	18.081606528138018	38.6049927647282	1098	256
B14c_ts_primary	B14c	14	11,12,13,14	40	q8_0	layer	32768	256	2	warmup	1	18.50462131232172	27.8181226414482	90	256
B14c_ts_primary	B14c	14	11,12,13,14	40	q8_0	layer	32768	256	2	warmup	2	17.77719137736776	27.978393219529664	90	256
B14c_ts_primary	B14c	14	11,12,13,14	40	q8_0	layer	32768	256	2	eval	1	18.36017397125471	45.69876705466881	1111	256
B14c_ts_primary	B14c	14	11,12,13,14	40	q8_0	layer	32768	256	2	eval	2	18.355245265870348	45.727289033591816	1111	256
B14c_ts_primary	B14c	14	11,12,13,14	40	q8_0	layer	32768	256	2	eval	3	18.358974461949376	45.677588585125385	1111	256
B14c_ts_primary	B14c	14	11,12,13,14	40	q8_0	layer	32768	256	2	eval	4	18.345514109742723	45.766030458426094	1111	256
B14c_ts_primary	B14c	14	11,12,13,14	40	q8_0	layer	32768	256	2	eval	5	18.359634106835713	45.77254686237431	1111	256
B14b_ts_alt	B14b	14	11,12,13,14	40	q8_0	layer	32768	256	3	warmup	1	18.764327957060182	27.226755308914765	90	256
B14b_ts_alt	B14b	14	11,12,13,14	40	q8_0	layer	32768	256	3	warmup	2	18.068860852196647	27.89094269526914	90	256
B14b_ts_alt	B14b	14	11,12,13,14	40	q8_0	layer	32768	256	3	eval	1	18.662130796897042	46.07772968763239	1111	256
B14b_ts_alt	B14b	14	11,12,13,14	40	q8_0	layer	32768	256	3	eval	2	18.65982511953586	46.065529065089095	1111	256
B14b_ts_alt	B14b	14	11,12,13,14	40	q8_0	layer	32768	256	3	eval	3	18.668024765468353	46.07589325853694	1111	256
B14b_ts_alt	B14b	14	11,12,13,14	40	q8_0	layer	32768	256	3	eval	4	18.66545632848287	46.12597256364045	1111	256
B14b_ts_alt	B14b	14	11,12,13,14	40	q8_0	layer	32768	256	3	eval	5	18.66453502122945	46.062759701611164	1111	256
B16_ts_skew	B16	16	11,12,13,13	40	q8_0	layer	32768	256	4	warmup	1	18.786634395729738	25.291633611906626	90	256
B16_ts_skew	B16	16	11,12,13,13	40	q8_0	layer	32768	256	4	warmup	2	17.913509935350422	26.24075778643464	90	256
B16_ts_skew	B16	16	11,12,13,13	40	q8_0	layer	32768	256	4	eval	1	18.496853222845466	43.02522226825952	1111	256
B16_ts_skew	B16	16	11,12,13,13	40	q8_0	layer	32768	256	4	eval	2	18.49367433260772	43.07774221914582	1111	256
B16_ts_skew	B16	16	11,12,13,13	40	q8_0	layer	32768	256	4	eval	3	18.496448284544734	43.08242622076343	1111	256
B16_ts_skew	B16	16	11,12,13,13	40	q8_0	layer	32768	256	4	eval	4	18.49433166795248	43.04325831964001	1111	256
B16_ts_skew	B16	16	11,12,13,13	40	q8_0	layer	32768	256	4	eval	5	18.49673427873321	43.0555288046332	1111	256
B18_default_z	B18	18		40	q8_0	layer	32768	256	5	warmup	1	18.308457312937808	20.52957778923642	77	256
B18_default_z	B18	18		40	q8_0	layer	32768	256	5	warmup	2	17.687208217200578	20.92170148318561	77	256
B18_default_z	B18	18		40	q8_0	layer	32768	256	5	eval	1	18.20593846421246	38.596887150505715	1098	256
B18_default_z	B18	18		40	q8_0	layer	32768	256	5	eval	2	18.20685519391083	38.6326096873204	1098	256
B18_default_z	B18	18		40	q8_0	layer	32768	256	5	eval	3	18.191755169674003	38.640786067610605	1098	256
B18_default_z	B18	18		40	q8_0	layer	32768	256	5	eval	4	18.19930787179071	38.60537417749106	1098	256
B18_default_z	B18	18		40	q8_0	layer	32768	256	5	eval	5	18.199579575493384	38.59848547698588	1098	256
