ub	phase	run	eval_tps	prompt_tps	prompt_n	predicted_n
1584	warmup	1	15.554900413395783	10.216193515451915	65	256
1584	warmup	2	15.268018737198869	10.496092143416664	65	256
1584	eval	1	15.244979072097674	68.52691798545752	1086	256
1584	eval	2	15.25239981020295	68.6235152819071	1086	256
1584	eval	3	15.253258611432711	68.70233933363285	1086	256
1584	eval	4	15.252857825490622	68.65574020465606	1086	256
1584	eval	5	15.237924718461485	68.69353498955175	1086	256
1586	warmup	1	15.089650798366309	10.313767006608426	65	256
1586	warmup	2	15.062821379415524	10.65707595412801	65	256
1586	eval	1	15.0489434554173	67.8805534777814	1086	256
1586	eval	2	15.053230811423239	68.0874242527405	1086	256
1586	eval	3	15.046018482623142	69.02108651392795	1086	256
1586	eval	4	15.048290611177505	69.0577257726612	1086	256
1586	eval	5	15.042255811892831	69.11479853481718	1086	256
1664	warmup	1	15.06168879420944	10.26276790955628	65	256
1664	warmup	2	15.051768676893088	10.53414602919417	65	256
1664	eval	1	15.035958259240125	68.54018679662289	1086	256
1664	eval	2	15.03519174567973	68.5452396372505	1086	256
1664	eval	3	15.047910253792997	68.55675839910248	1086	256
1664	eval	4	15.03795262034562	68.56833298449352	1086	256
1664	eval	5	15.032789391031686	68.54580639786107	1086	256
