tag	run	eval_tps	prompt_tps	prompt_n	predicted_n	gpu0_used	gpu1_used	gpu2_used	gpu3_used
S_f16_fa1_ctx32768_b1024_ub1024_1k	1	14.642747281396652	50.105511174126576	1090	256	2923MiB	10483MiB	10487MiB	3329MiB
S_f16_fa1_ctx32768_b1024_ub1024_1k	2	14.639716854151306	50.173462086722566	1090	256	2923MiB	10483MiB	10487MiB	3329MiB
S_f16_fa1_ctx32768_b1024_ub1024_1k	3	14.631388179815874	50.08994131480857	1090	256	2923MiB	10483MiB	10487MiB	3329MiB
S_f16_fa1_ctx32768_b1024_ub1024_warmup	1	14.415621398030343	10.406831707957153	69	256	2879MiB	10445MiB	10445MiB	3295MiB
S_f16_fa1_ctx32768_b1024_ub1024_warmup	2	14.398678831225492	10.744535586135438	69	256	2879MiB	10445MiB	10445MiB	3295MiB
S_f16_fa1_ctx32768_b1024_ub1024_warmup	3	14.415691209587425	10.726839781278182	69	256	2879MiB	10445MiB	10445MiB	3295MiB
S_f16_fa1_ctx32768_b4096_ub4096_1k	1	14.651557629412316	68.53442896202093	1090	256	3869MiB	11367MiB	11371MiB	6351MiB
S_f16_fa1_ctx32768_b4096_ub4096_1k	2	14.651171069248187	68.63605981160346	1090	256	3869MiB	11367MiB	11371MiB	6351MiB
S_f16_fa1_ctx32768_b4096_ub4096_1k	3	14.640023273061995	68.62578378987213	1090	256	3869MiB	11367MiB	11371MiB	6351MiB
S_f16_fa1_ctx32768_b4096_ub4096_warmup	1	14.935228364892366	10.44853912765904	69	256	3819MiB	11321MiB	11321MiB	6313MiB
S_f16_fa1_ctx32768_b4096_ub4096_warmup	2	14.672312526675954	10.790207558243273	69	256	3819MiB	11321MiB	11321MiB	6313MiB
S_f16_fa1_ctx32768_b4096_ub4096_warmup	3	14.671897962451633	10.808453526469433	69	256	3819MiB	11321MiB	11321MiB	6313MiB
S_f16_fa1_ctx32768_b512_ub512_1k	1	14.635819922929832	34.6491297909269	1088	256	2889MiB	10315MiB	10315MiB	2809MiB
S_f16_fa1_ctx32768_b512_ub512_1k	2	14.628476134498323	34.661414527866775	1088	256	2889MiB	10315MiB	10315MiB	2809MiB
