elapsed_s,mode,duty0,fan1,fan2,fan3,fan4,fan5,fan6,fan7,fan8,cpu1,gpu_max,power
18,01,10,,,,,,,,,,,on
38,01,10,,,,,,,,,,,on
58,01,10,2900,2900,3000,2900,2900,2900,2900,2900,43,,on
80,01,10,2900,2900,3000,2900,2900,2900,2900,2900,47,,on
102,01,10,2900,2900,3000,2900,2900,2900,2900,2900,48,,on
126,01,10,2900,2900,3000,2900,2900,2900,2900,2900,49,,on
151,01,10,2900,2900,2900,2900,2900,2900,2300,3100,50,45,on
175,01,10,2900,2900,2900,2900,2900,2900,2900,2900,45,46,on
200,01,10,2900,2900,2900,2900,2900,2900,2900,2900,43,46,on
226,01,10,2900,2900,2900,2900,2900,2900,2900,2900,42,46,on
250,01,10,2900,2900,2900,2900,2900,2900,2900,2900,41,46,on
275,01,10,2900,2900,2900,2900,2900,2900,2900,2900,40,47,on
