elapsed_s,ping,ssh,phase
0,1,1,pre-down
2,1,1,pre-down
5,0,0,pre-down
8,0,0,post-down
11,0,0,post-down
14,0,0,post-down
17,0,0,post-down
20,0,0,post-down
23,0,0,post-down
26,0,0,post-down
29,0,0,post-down
32,0,0,post-down
35,0,0,post-down
38,0,0,post-down
41,0,0,post-down
44,0,0,post-down
47,0,0,post-down
49,0,0,post-down
52,0,0,post-down
54,0,0,post-down
57,0,0,post-down
59,0,0,post-down
62,0,0,post-down
64,0,0,post-down
67,0,0,post-down
69,0,0,post-down
72,0,0,post-down
74,0,0,post-down
77,0,0,post-down
79,0,0,post-down
82,0,0,post-down
85,0,0,post-down
87,0,0,post-down
90,0,0,post-down
92,0,0,post-down
95,0,0,post-down
98,0,0,post-down
101,0,0,post-down
103,0,0,post-down
106,0,0,post-down
109,0,0,post-down
111,0,0,post-down
114,0,0,post-down
116,0,0,post-down
119,0,0,post-down
121,0,0,post-down
124,0,0,post-down
126,0,0,post-down
129,0,0,post-down
131,0,0,post-down
134,0,0,post-down
136,0,0,post-down
139,0,0,post-down
141,0,0,post-down
144,1,1,post-down
